Sl no.,Family,Common name,Scientific name,Source,SoIB concern status,IUCN Red List,WLPA schedule,ldv,dv
197,Falconidae (Falcons and Caracaras),Eurasian Hobby,Falco subbuteo,eBird,Low,Least Concern,Schedule-IV,*,
198,Falconidae (Falcons and Caracaras),Oriental Hobby,Falco severus,eBird,NA,Least Concern,Schedule-IV,*,
199,Falconidae (Falcons and Caracaras),Peregrine Falcon,Falco peregrinus,eBird,Low,Least Concern,Schedule-I,*,
200,Psittaculidae (Old World Parrots),Rose-ringed Parakeet,Psittacula krameri,eBird,Low,Least Concern,Schedule-IV,*,
201,Psittaculidae (Old World Parrots),Gray-headed Parakeet,Psittacula finschii,eBird,NA,Near Threatened,Schedule-IV,*,
202,Psittaculidae (Old World Parrots),Blossom-headed Parakeet,Psittacula roseata,eBird,NA,Near Threatened,Schedule-IV,*,
203,Psittaculidae (Old World Parrots),Red-breasted Parakeet,Psittacula alexandri,eBird,Moderate,Near Threatened,Schedule-IV,*,
204,Psittaculidae (Old World Parrots),Vernal Hanging-Parrot,Loriculus vernalis,eBird,Low,Least Concern,Schedule-IV,*,
205,Eurylaimidae (Asian and Grauer's Broadbills),Long-tailed Broadbill,Psarisomus dalhousiae,eBird,Low,Least Concern,Schedule-IV,*,
206,Eurylaimidae (Asian and Grauer's Broadbills),Silver-breasted Broadbill,Serilophus lunatus,eBird,NA,Least Concern,Schedule-IV,*,
207,Pittidae (Pittas),Blue-naped Pitta,Hydrornis nipalensis,eBird,Moderate,Least Concern,Schedule-IV,*,
208,Pittidae (Pittas),Hooded Pitta,Pitta sordida,eBird,NA,Least Concern,Schedule-IV,*,
209,Campephagidae (Cuckooshrikes),Small Minivet,Pericrocotus cinnamomeus,eBird,High,Least Concern,Schedule-IV,*,
210,Campephagidae (Cuckooshrikes),Gray-chinned Minivet,Pericrocotus solaris,eBird,NA,Least Concern,Schedule-IV,,
211,Campephagidae (Cuckooshrikes),Short-billed Minivet,Pericrocotus brevirostris,eBird,Low,Least Concern,Schedule-IV,*,
212,Campephagidae (Cuckooshrikes),Long-tailed Minivet,Pericrocotus ethologus,eBird,Moderate,Least Concern,Schedule-IV,*,
213,Campephagidae (Cuckooshrikes),Scarlet Minivet,Pericrocotus speciosus,eBird,Low,Least Concern,Schedule-IV,,
214,Campephagidae (Cuckooshrikes),Rosy Minivet,Pericrocotus roseus,eBird,NA,Least Concern,Schedule-IV,*,
215,Campephagidae (Cuckooshrikes),Large Cuckooshrike,Coracina macei,eBird,High,Least Concern,Schedule-IV,*,
216,Campephagidae (Cuckooshrikes),Black-winged Cuckooshrike,Lalage melaschistos,eBird,Low,Least Concern,Schedule-IV,*,
217,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Black-headed Shrike-Babbler,Pteruthius rufiventer,eBird,Moderate,Least Concern,Schedule-IV,*,
218,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Blyth's Shrike-Babbler,Pteruthius aeralatus,eBird,NA,Least Concern,Schedule-IV,*,
219,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Green Shrike-Babbler,Pteruthius xanthochlorus,eBird,Low,Least Concern,Schedule-IV,,
220,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Black-eared Shrike-Babbler,Pteruthius melanotis,eBird,NA,Least Concern,Schedule-IV,,
221,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",White-bellied Erpornis,Erpornis zantholeuca,eBird,Low,Least Concern,Schedule-IV,,
222,Oriolidae (Old World Orioles),Black-hooded Oriole,Oriolus xanthornus,eBird,Low,Least Concern,Schedule-IV,*,
223,Oriolidae (Old World Orioles),Maroon Oriole,Oriolus traillii,eBird,Low,Least Concern,Schedule-IV,*,
224,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Ashy Woodswallow,Artamus fuscus,eBird,Moderate,Least Concern,Schedule-IV,*,
225,"Vangidae (Vangas, Helmetshrikes, and Allies)",Large Woodshrike,Tephrodornis virgatus,eBird,Low,Least Concern,Schedule-IV,*,
226,"Vangidae (Vangas, Helmetshrikes, and Allies)",Bar-winged Flycatcher-shrike,Hemipus picatus,eBird,Moderate,Least Concern,Schedule-IV,,
227,Aegithinidae (Ioras),Common Iora,Aegithina tiphia,eBird,Moderate,Least Concern,Schedule-IV,*,
228,Rhipiduridae (Fantails),White-throated Fantail,Rhipidura albicollis,eBird,Low,Least Concern,Schedule-IV,,
229,Dicruridae (Drongos),Black Drongo,Dicrurus macrocercus,eBird,Low,Least Concern,Schedule-IV,*,
230,Dicruridae (Drongos),Ashy Drongo,Dicrurus leucophaeus,eBird,Low,Least Concern,Schedule-IV,,
231,Dicruridae (Drongos),Bronzed Drongo,Dicrurus aeneus,eBird,Low,Least Concern,Schedule-IV,,
232,Dicruridae (Drongos),Lesser Racket-tailed Drongo,Dicrurus remifer,eBird,Low,Least Concern,Schedule-IV,*,
233,Dicruridae (Drongos),Hair-crested Drongo,Dicrurus hottentottus,eBird,Low,Least Concern,Schedule-IV,*,
234,Dicruridae (Drongos),Greater Racket-tailed Drongo,Dicrurus paradiseus,eBird,Moderate,Least Concern,Schedule-IV,*,
235,Monarchidae (Monarch Flycatchers),Black-naped Monarch,Hypothymis azurea,eBird,Moderate,Least Concern,Schedule-IV,*,
236,Monarchidae (Monarch Flycatchers),Blyth's Paradise-Flycatcher,Terpsiphone affinis,eBird,NA,Least Concern,Schedule-IV,*,
237,Laniidae (Shrikes),Brown Shrike,Lanius cristatus,eBird,Low,Least Concern,Schedule-IV,*,
238,Laniidae (Shrikes),Burmese Shrike,Lanius collurioides,eBird,NA,Least Concern,Schedule-IV,*,
239,Laniidae (Shrikes),Long-tailed Shrike,Lanius schach,eBird,Moderate,Least Concern,Schedule-IV,*,
240,Laniidae (Shrikes),Gray-backed Shrike,Lanius tephronotus,eBird,Low,Least Concern,Schedule-IV,,
241,"Corvidae (Crows, Jays, and Magpies)",Eurasian Jay,Garrulus glandarius,eBird,Low,Least Concern,Schedule-IV,,
242,"Corvidae (Crows, Jays, and Magpies)",Yellow-billed Blue-Magpie,Urocissa flavirostris,eBird,Low,Least Concern,Schedule-IV,,
243,"Corvidae (Crows, Jays, and Magpies)",Red-billed Blue-Magpie,Urocissa erythroryncha,eBird,Low,Least Concern,Schedule-IV,*,
244,"Corvidae (Crows, Jays, and Magpies)",Common Green-Magpie,Cissa chinensis,eBird,Low,Least Concern,Schedule-IV,,
245,"Corvidae (Crows, Jays, and Magpies)",Rufous Treepie,Dendrocitta vagabunda,eBird,Low,Least Concern,Schedule-IV,*,
246,"Corvidae (Crows, Jays, and Magpies)",Gray Treepie,Dendrocitta formosae,eBird,Low,Least Concern,Schedule-IV,,
247,"Corvidae (Crows, Jays, and Magpies)",Collared Treepie,Dendrocitta frontalis,eBird,Moderate,Least Concern,Schedule-IV,,
248,"Corvidae (Crows, Jays, and Magpies)",Eurasian Nutcracker,Nucifraga caryocatactes,eBird,NA,Least Concern,Schedule-IV,*,
249,"Corvidae (Crows, Jays, and Magpies)",House Crow,Corvus splendens,eBird,Low,Least Concern,Schedule-V,*,
250,"Corvidae (Crows, Jays, and Magpies)",Large-billed Crow,Corvus macrorhynchos,eBird,Low,Least Concern,Schedule-IV,,
251,Stenostiridae (Fairy Flycatchers),Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,eBird,Low,Least Concern,Schedule-IV,,
252,Stenostiridae (Fairy Flycatchers),Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,eBird,Moderate,Least Concern,Schedule-IV,,
253,"Paridae (Tits, Chickadees, and Titmice)",Yellow-browed Tit,Sylviparus modestus,eBird,Moderate,Least Concern,Schedule-IV,,
254,"Paridae (Tits, Chickadees, and Titmice)",Sultan Tit,Melanochlora sultanea,eBird,Low,Least Concern,Schedule-IV,,
255,"Paridae (Tits, Chickadees, and Titmice)",Coal Tit,Periparus ater,eBird,Low,Least Concern,Schedule-IV,*,
256,"Paridae (Tits, Chickadees, and Titmice)",Rufous-vented Tit,Periparus rubidiventris,eBird,Low,Least Concern,Schedule-IV,*,
257,"Paridae (Tits, Chickadees, and Titmice)",Gray-crested Tit,Lophophanes dichrous,eBird,Low,Least Concern,Schedule-IV,*,
258,"Paridae (Tits, Chickadees, and Titmice)",Green-backed Tit,Parus monticolus,eBird,Low,Least Concern,Schedule-IV,,
259,"Paridae (Tits, Chickadees, and Titmice)",Cinereous Tit,Parus cinereus,eBird,Low,Least Concern,Schedule-IV,*,
260,"Paridae (Tits, Chickadees, and Titmice)",Yellow-cheeked Tit,Machlolophus spilonotus,eBird,Low,Least Concern,Schedule-IV,,
261,Alaudidae (Larks),Bengal Bushlark,Mirafra assamica,eBird,Low,Least Concern,Schedule-IV,*,
262,Alaudidae (Larks),Oriental Skylark,Alauda gulgula,eBird,Moderate,Least Concern,Schedule-IV,*,
263,Cisticolidae (Cisticolas and Allies),Common Tailorbird,Orthotomus sutorius,eBird,Low,Least Concern,Schedule-IV,,
264,Cisticolidae (Cisticolas and Allies),Dark-necked Tailorbird,Orthotomus atrogularis,eBird,NA,Least Concern,Schedule-IV,*,
265,Cisticolidae (Cisticolas and Allies),Striated Prinia,Prinia crinigera,eBird,Low,Least Concern,Schedule-IV,,
266,Cisticolidae (Cisticolas and Allies),Black-throated Prinia,Prinia atrogularis,eBird,Moderate,Least Concern,Schedule-IV,,
267,Cisticolidae (Cisticolas and Allies),Rufescent Prinia,Prinia rufescens,eBird,NA,Least Concern,Schedule-IV,*,
268,Cisticolidae (Cisticolas and Allies),Gray-breasted Prinia,Prinia hodgsonii,eBird,Low,Least Concern,Schedule-IV,*,
269,Cisticolidae (Cisticolas and Allies),Graceful Prinia,Prinia gracilis,eBird,Low,Least Concern,Schedule-IV,*,
270,Cisticolidae (Cisticolas and Allies),Yellow-bellied Prinia,Prinia flaviventris,eBird,Low,Least Concern,Schedule-IV,*,
271,Cisticolidae (Cisticolas and Allies),Ashy Prinia,Prinia socialis,eBird,Low,Least Concern,Schedule-IV,*,
272,Cisticolidae (Cisticolas and Allies),Plain Prinia,Prinia inornata,eBird,Low,Least Concern,Schedule-IV,*,
273,Cisticolidae (Cisticolas and Allies),Zitting Cisticola,Cisticola juncidis,eBird,Low,Least Concern,Schedule-IV,*,
274,Cisticolidae (Cisticolas and Allies),Golden-headed Cisticola,Cisticola exilis,eBird,Moderate,Least Concern,Schedule-IV,*,
275,Acrocephalidae (Reed Warblers and Allies),Thick-billed Warbler,Arundinax aedon,eBird,Low,Least Concern,Schedule-IV,*,
276,Acrocephalidae (Reed Warblers and Allies),Paddyfield Warbler,Acrocephalus agricola,eBird,Low,Least Concern,Schedule-IV,*,
277,Acrocephalidae (Reed Warblers and Allies),Blunt-winged Warbler,Acrocephalus concinens,eBird,NA,Least Concern,Schedule-IV,*,
278,Acrocephalidae (Reed Warblers and Allies),Blyth's Reed Warbler,Acrocephalus dumetorum,eBird,Low,Least Concern,Schedule-IV,*,
279,Acrocephalidae (Reed Warblers and Allies),Clamorous Reed Warbler,Acrocephalus stentoreus,eBird,Low,Least Concern,Schedule-IV,*,
280,Locustellidae (Grassbirds and Allies),Striated Grassbird,Megalurus palustris,eBird,Low,Least Concern,Schedule-IV,*,
281,Locustellidae (Grassbirds and Allies),Pallas's Grasshopper-Warbler,Locustella certhiola,eBird,NA,Least Concern,Schedule-IV,*,
282,Locustellidae (Grassbirds and Allies),Baikal Bush Warbler,Locustella davidi,eBird,NA,Least Concern,Schedule-IV,*,
283,Locustellidae (Grassbirds and Allies),Spotted Bush Warbler,Locustella thoracica,eBird,Moderate,Least Concern,Schedule-IV,*,
284,Pnoepygidae (Cupwings),Scaly-breasted Cupwing,Pnoepyga albiventer,eBird,Low,Least Concern,Schedule-IV,,
285,Pnoepygidae (Cupwings),Pygmy Cupwing,Pnoepyga pusilla,eBird,Low,Least Concern,Schedule-IV,,
286,Hirundinidae (Swallows),Gray-throated Martin,Riparia chinensis,eBird,Low,Least Concern,Schedule-IV,*,
287,Hirundinidae (Swallows),Bank Swallow,Riparia riparia,eBird,NA,Least Concern,Schedule-IV,*,
288,Hirundinidae (Swallows),Barn Swallow,Hirundo rustica,eBird,Low,Least Concern,Schedule-IV,*,
289,Hirundinidae (Swallows),Red-rumped Swallow,Cecropis daurica,eBird,Low,Least Concern,Schedule-IV,*,
290,Hirundinidae (Swallows),Striated Swallow,Cecropis striolata,eBird,NA,Least Concern,Schedule-IV,*,
291,Hirundinidae (Swallows),Asian House-Martin,Delichon dasypus,eBird,NA,Least Concern,Schedule-IV,*,
292,Hirundinidae (Swallows),Nepal House-Martin,Delichon nipalense,eBird,Moderate,Least Concern,Schedule-IV,*,
293,Pycnonotidae (Bulbuls),Black-crested Bulbul,Rubigula flaviventris,eBird,Low,Least Concern,Schedule-IV,*,
294,Pycnonotidae (Bulbuls),Striated Bulbul,Pycnonotus striatus,eBird,Low,Least Concern,Schedule-IV,,
295,Pycnonotidae (Bulbuls),Red-vented Bulbul,Pycnonotus cafer,eBird,Low,Least Concern,Schedule-IV,*,
296,Pycnonotidae (Bulbuls),Red-whiskered Bulbul,Pycnonotus jocosus,eBird,Low,Least Concern,Schedule-IV,*,
297,Pycnonotidae (Bulbuls),White-throated Bulbul,Alophoixus flaveolus,eBird,Low,Least Concern,Schedule-IV,,
298,Pycnonotidae (Bulbuls),Black Bulbul,Hypsipetes leucocephalus,eBird,Low,Least Concern,Schedule-IV,,
299,Pycnonotidae (Bulbuls),Ashy Bulbul,Hemixos flavala,eBird,Low,Least Concern,Schedule-IV,,
300,Pycnonotidae (Bulbuls),Mountain Bulbul,Ixos mcclellandii,eBird,Low,Least Concern,Schedule-IV,,
301,Phylloscopidae (Leaf Warblers),Ashy-throated Warbler,Phylloscopus maculipennis,eBird,Low,Least Concern,Schedule-IV,,
302,Phylloscopidae (Leaf Warblers),Buff-barred Warbler,Phylloscopus pulcher,eBird,Low,Least Concern,Schedule-IV,,
303,Phylloscopidae (Leaf Warblers),Yellow-browed Warbler,Phylloscopus inornatus,eBird,Moderate,Least Concern,Schedule-IV,*,
304,Phylloscopidae (Leaf Warblers),Lemon-rumped Warbler,Phylloscopus chloronotus,eBird,Moderate,Least Concern,Schedule-IV,,
305,Phylloscopidae (Leaf Warblers),Tickell's Leaf Warbler,Phylloscopus affinis,eBird,Low,Least Concern,Schedule-IV,*,
306,Phylloscopidae (Leaf Warblers),Dusky Warbler,Phylloscopus fuscatus,eBird,Low,Least Concern,Schedule-IV,*,
307,Phylloscopidae (Leaf Warblers),Smoky Warbler,Phylloscopus fuligiventer,eBird,Moderate,Least Concern,Schedule-IV,*,
308,Phylloscopidae (Leaf Warblers),Common Chiffchaff,Phylloscopus collybita,eBird,Low,Least Concern,Schedule-IV,*,
309,Phylloscopidae (Leaf Warblers),White-spectacled Warbler,Phylloscopus intermedius,eBird,Low,Least Concern,Schedule-IV,,
310,Phylloscopidae (Leaf Warblers),Gray-cheeked Warbler,Phylloscopus poliogenys,eBird,Low,Least Concern,Schedule-IV,,
311,Phylloscopidae (Leaf Warblers),Green-crowned Warbler,Phylloscopus burkii,eBird,Moderate,Least Concern,Schedule-IV,*,
312,Phylloscopidae (Leaf Warblers),Gray-crowned Warbler,Phylloscopus tephrocephalus,eBird,NA,Least Concern,Schedule-IV,*,
313,Phylloscopidae (Leaf Warblers),Whistler's Warbler,Phylloscopus whistleri,eBird,Low,Least Concern,Schedule-IV,*,
314,Phylloscopidae (Leaf Warblers),Greenish Warbler,Phylloscopus trochiloides,eBird,Moderate,Least Concern,Schedule-IV,*,
315,Phylloscopidae (Leaf Warblers),Large-billed Leaf Warbler,Phylloscopus magnirostris,eBird,Moderate,Least Concern,Schedule-IV,*,
316,Phylloscopidae (Leaf Warblers),Chestnut-crowned Warbler,Phylloscopus castaniceps,eBird,Low,Least Concern,Schedule-IV,,
317,Phylloscopidae (Leaf Warblers),Yellow-vented Warbler,Phylloscopus cantator,eBird,Moderate,Least Concern,Schedule-IV,,
318,Phylloscopidae (Leaf Warblers),Blyth's Leaf Warbler,Phylloscopus reguloides,eBird,Low,Least Concern,Schedule-IV,,
319,Phylloscopidae (Leaf Warblers),Gray-hooded Warbler,Phylloscopus xanthoschistos,eBird,Low,Least Concern,Schedule-IV,,
320,Scotocercidae (Bush Warblers and Allies),Gray-bellied Tesia,Tesia cyaniventer,eBird,Low,Least Concern,Schedule-IV,*,
321,Scotocercidae (Bush Warblers and Allies),Slaty-bellied Tesia,Tesia olivea,eBird,Low,Least Concern,Schedule-IV,*,
322,Scotocercidae (Bush Warblers and Allies),Chestnut-crowned Bush Warbler,Cettia major,eBird,NA,Least Concern,Schedule-IV,*,
323,Scotocercidae (Bush Warblers and Allies),Gray-sided Bush Warbler,Cettia brunnifrons,eBird,Low,Least Concern,Schedule-IV,,
324,Scotocercidae (Bush Warblers and Allies),Chestnut-headed Tesia,Cettia castaneocoronata,eBird,Low,Least Concern,Schedule-IV,,
325,Scotocercidae (Bush Warblers and Allies),Yellow-bellied Warbler,Abroscopus superciliaris,eBird,Low,Least Concern,Schedule-IV,,
326,Scotocercidae (Bush Warblers and Allies),Rufous-faced Warbler,Abroscopus albogularis,eBird,NA,Least Concern,Schedule-IV,*,
327,Scotocercidae (Bush Warblers and Allies),Black-faced Warbler,Abroscopus schisticeps,eBird,Low,Least Concern,Schedule-IV,,
328,Scotocercidae (Bush Warblers and Allies),Mountain Tailorbird,Phyllergates cucullatus,eBird,Low,Least Concern,Schedule-IV,,
329,Scotocercidae (Bush Warblers and Allies),Broad-billed Warbler,Tickellia hodgsoni,eBird,Moderate,Least Concern,Schedule-IV,,
330,Scotocercidae (Bush Warblers and Allies),Brownish-flanked Bush Warbler,Horornis fortipes,eBird,Low,Least Concern,Schedule-IV,,
331,Scotocercidae (Bush Warblers and Allies),Hume's Bush Warbler,Horornis brunnescens,eBird,Moderate,Least Concern,Schedule-IV,,
332,Scotocercidae (Bush Warblers and Allies),Aberrant Bush Warbler,Horornis flavolivaceus,eBird,Low,Least Concern,Schedule-IV,*,
333,Aegithalidae (Long-tailed Tits),Black-throated Tit,Aegithalos concinnus,eBird,Low,Least Concern,Schedule-IV,,
334,Aegithalidae (Long-tailed Tits),Black-browed Tit,Aegithalos iouschistos,eBird,Moderate,Least Concern,Schedule-IV,*,
335,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Fire-tailed Myzornis,Myzornis pyrrhoura,eBird,Moderate,Least Concern,Schedule-IV,*,
336,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Golden-breasted Fulvetta,Lioparus chrysotis,eBird,NA,Least Concern,Schedule-IV,,
337,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Jerdon's Babbler,Chrysomma altirostre,eBird,High,Vulnerable,Schedule-IV,*,
338,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Ludlow's Fulvetta,Fulvetta ludlowi,eBird,Moderate,Least Concern,Schedule-IV,*,
339,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Streak-throated Fulvetta,Fulvetta manipurensis,eBird,NA,Least Concern,Schedule-IV,*,
340,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Brown Parrotbill,Cholornis unicolor,eBird,NA,Least Concern,Schedule-IV,*,
341,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Gray-headed Parrotbill,Psittiparus gularis,eBird,NA,Least Concern,Schedule-IV,*,
342,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Rufous-headed Parrotbill,Psittiparus bakeri,eBird,NA,Least Concern,Schedule-IV,*,
343,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Black-breasted Parrotbill,Paradoxornis flavirostris,eBird,High,Vulnerable,Schedule-IV,*,
344,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Spot-breasted Parrotbill,Paradoxornis guttaticollis,eBird,NA,Least Concern,Schedule-IV,,
345,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Pale-billed Parrotbill,Chleuasicus atrosuperciliaris,eBird,Moderate,Least Concern,Schedule-IV,*,
346,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Fulvous Parrotbill,Suthora fulvifrons,eBird,NA,Least Concern,Schedule-IV,*,
347,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Black-throated Parrotbill,Suthora nipalensis,eBird,Moderate,Least Concern,Schedule-IV,,
348,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Striated Yuhina,Yuhina castaniceps,eBird,Moderate,Least Concern,Schedule-IV,,
349,"Zosteropidae (White-eyes, Yuhinas, and Allies)",White-naped Yuhina,Yuhina bakeri,eBird,Moderate,Least Concern,Schedule-IV,,
350,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Whiskered Yuhina,Yuhina flavicollis,eBird,Low,Least Concern,Schedule-IV,,
351,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Stripe-throated Yuhina,Yuhina gularis,eBird,Low,Least Concern,Schedule-IV,*,
352,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Rufous-vented Yuhina,Yuhina occipitalis,eBird,Moderate,Least Concern,Schedule-IV,*,
353,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Black-chinned Yuhina,Yuhina nigrimenta,eBird,Low,Least Concern,Schedule-IV,,
354,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Chestnut-flanked White-eye,Zosterops erythropleurus,eBird,NA,Least Concern,Schedule-IV,*,
355,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Indian White-eye,Zosterops palpebrosus,eBird,Low,Least Concern,Schedule-IV,,
356,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Chestnut-capped Babbler,Timalia pileata,eBird,Low,Least Concern,Schedule-IV,*,
357,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Pin-striped Tit-Babbler,Mixornis gularis,eBird,Low,Least Concern,Schedule-IV,,
358,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Golden Babbler,Cyanoderma chrysaeum,eBird,Low,Least Concern,Schedule-IV,,
359,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Rufous-capped Babbler,Cyanoderma ruficeps,eBird,Low,Least Concern,Schedule-IV,,
360,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Buff-chested Babbler,Cyanoderma ambiguum,eBird,Moderate,Least Concern,Schedule-IV,*,
361,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Rusty-throated Wren-Babbler,Spelaeornis badeigularis,eBird,High,Vulnerable,Schedule-IV,,
362,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Bar-winged Wren-Babbler,Spelaeornis troglodytoides,eBird,High,Least Concern,Schedule-IV,*,
363,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Red-billed Scimitar-Babbler,Pomatorhinus ochraceiceps,eBird,NA,Least Concern,Schedule-IV,*,
364,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Coral-billed Scimitar-Babbler,Pomatorhinus ferruginosus,eBird,NA,Least Concern,Schedule-IV,,
365,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,eBird,Moderate,Least Concern,Schedule-IV,,
366,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,eBird,Low,Least Concern,Schedule-IV,,
367,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",White-browed Scimitar-Babbler,Pomatorhinus schisticeps,eBird,Low,Least Concern,Schedule-IV,*,
368,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Spot-breasted Scimitar-Babbler,Megapomatorhinus mcclellandi,eBird,Moderate,Least Concern,Schedule-IV,*,
369,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Gray-throated Babbler,Stachyris nigriceps,eBird,NA,Least Concern,Schedule-IV,,
370,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",Chevron-breasted Babbler,Stachyris roberti,eBird,Moderate,Near Threatened,Schedule-IV,*,
371,Pellorneidae (Ground Babblers and Allies),White-hooded Babbler,Gampsorhynchus rufulus,eBird,Moderate,Least Concern,Schedule-IV,*,
372,Pellorneidae (Ground Babblers and Allies),Yellow-throated Fulvetta,Schoeniparus cinereus,eBird,Moderate,Least Concern,Schedule-IV,*,
373,Pellorneidae (Ground Babblers and Allies),Rufous-winged Fulvetta,Schoeniparus castaneceps,eBird,NA,Least Concern,Schedule-IV,,
374,Pellorneidae (Ground Babblers and Allies),Rufous-throated Fulvetta,Schoeniparus rufogularis,eBird,Moderate,Least Concern,Schedule-IV,*,
375,Pellorneidae (Ground Babblers and Allies),Rusty-capped Fulvetta,Schoeniparus dubius,eBird,NA,Least Concern,Schedule-IV,,!
376,Pellorneidae (Ground Babblers and Allies),Swamp Grass Babbler,Laticilla cinerascens,eBird,High,Endangered,Schedule-IV,*,
