Sl no.,Family,Common name,Scientific name,Source,SoIB concern status,IUCN Red List,WLPA schedule,ldv,dv
377,Pellorneidae (Ground Babblers and Allies),Puff-throated Babbler,Pellorneum ruficeps,eBird,Moderate,Least Concern,Schedule-IV,*,
378,Pellorneidae (Ground Babblers and Allies),Marsh Babbler,Pellorneum palustre,eBird,High,Vulnerable,Schedule-IV,*,
379,Pellorneidae (Ground Babblers and Allies),Spot-throated Babbler,Pellorneum albiventre,eBird,NA,Least Concern,Schedule-IV,*,
380,Pellorneidae (Ground Babblers and Allies),Buff-breasted Babbler,Pellorneum tickelli,eBird,NA,Least Concern,Schedule-IV,*,
381,Pellorneidae (Ground Babblers and Allies),Eyebrowed Wren-Babbler,Napothera epilepidota,eBird,NA,Least Concern,Schedule-IV,*,
382,Pellorneidae (Ground Babblers and Allies),Long-billed Wren-Babbler,Napothera malacoptila,eBird,Moderate,Least Concern,Schedule-IV,*,
383,Leiothrichidae (Laughingthrushes and Allies),Brown-cheeked Fulvetta,Alcippe poioicephala,eBird,Moderate,Least Concern,Schedule-IV,*,
384,Leiothrichidae (Laughingthrushes and Allies),Nepal Fulvetta,Alcippe nipalensis,eBird,Low,Least Concern,Schedule-IV,,
385,Leiothrichidae (Laughingthrushes and Allies),Striated Laughingthrush,Grammatoptila striata,eBird,Low,Least Concern,Schedule-IV,,
386,Leiothrichidae (Laughingthrushes and Allies),Himalayan Cutia,Cutia nipalensis,eBird,Moderate,Least Concern,Schedule-IV,,
387,Leiothrichidae (Laughingthrushes and Allies),Striated Babbler,Turdoides earlei,eBird,Low,Least Concern,Schedule-IV,*,
388,Leiothrichidae (Laughingthrushes and Allies),White-crested Laughingthrush,Garrulax leucolophus,eBird,Low,Least Concern,Schedule-IV,,
389,Leiothrichidae (Laughingthrushes and Allies),Lesser Necklaced Laughingthrush,Garrulax monileger,eBird,Low,Least Concern,Schedule-IV,*,
390,Leiothrichidae (Laughingthrushes and Allies),Rufous-chinned Laughingthrush,Ianthocincla rufogularis,eBird,Low,Least Concern,Schedule-IV,*,
391,Leiothrichidae (Laughingthrushes and Allies),Spotted Laughingthrush,Ianthocincla ocellata,eBird,NA,Least Concern,Schedule-IV,*,
392,Leiothrichidae (Laughingthrushes and Allies),Greater Necklaced Laughingthrush,Ianthocincla pectoralis,eBird,Low,Least Concern,Schedule-IV,*,
393,Leiothrichidae (Laughingthrushes and Allies),Rufous-necked Laughingthrush,Ianthocincla ruficollis,eBird,Low,Least Concern,Schedule-IV,*,
394,Leiothrichidae (Laughingthrushes and Allies),Gray-sided Laughingthrush,Ianthocincla caerulata,eBird,High,Least Concern,Schedule-IV,,
395,Leiothrichidae (Laughingthrushes and Allies),Scaly Laughingthrush,Trochalopteron subunicolor,eBird,Moderate,Least Concern,Schedule-IV,,
396,Leiothrichidae (Laughingthrushes and Allies),Blue-winged Laughingthrush,Trochalopteron squamatum,eBird,Moderate,Least Concern,Schedule-IV,,
397,Leiothrichidae (Laughingthrushes and Allies),Elliot's Laughingthrush,Trochalopteron elliotii,eBird,NA,Least Concern,Schedule-IV,,!
398,Leiothrichidae (Laughingthrushes and Allies),Black-faced Laughingthrush,Trochalopteron affine,eBird,NA,Least Concern,Schedule-IV,,
399,Leiothrichidae (Laughingthrushes and Allies),Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,eBird,Low,Least Concern,Schedule-IV,,
400,Leiothrichidae (Laughingthrushes and Allies),Gray Sibia,Heterophasia gracilis,eBird,Moderate,Least Concern,Schedule-IV,*,
401,Leiothrichidae (Laughingthrushes and Allies),Beautiful Sibia,Heterophasia pulchella,eBird,Moderate,Least Concern,Schedule-IV,,
402,Leiothrichidae (Laughingthrushes and Allies),Long-tailed Sibia,Heterophasia picaoides,eBird,NA,Least Concern,Schedule-IV,*,
403,Leiothrichidae (Laughingthrushes and Allies),Silver-eared Mesia,Leiothrix argentauris,eBird,Low,Least Concern,Schedule-IV,*,
404,Leiothrichidae (Laughingthrushes and Allies),Red-billed Leiothrix,Leiothrix lutea,eBird,Low,Least Concern,Schedule-IV,,
405,Leiothrichidae (Laughingthrushes and Allies),Red-tailed Minla,Minla ignotincta,eBird,Moderate,Least Concern,Schedule-IV,,
406,Leiothrichidae (Laughingthrushes and Allies),Rufous-backed Sibia,Minla annectens,eBird,Moderate,Least Concern,Schedule-IV,,
407,Leiothrichidae (Laughingthrushes and Allies),Red-faced Liocichla,Liocichla phoenicea,eBird,Low,Least Concern,Schedule-IV,*,
408,Leiothrichidae (Laughingthrushes and Allies),Streak-throated Barwing,Actinodura waldeni,eBird,Moderate,Least Concern,Schedule-IV,,
409,Leiothrichidae (Laughingthrushes and Allies),Rusty-fronted Barwing,Actinodura egertoni,eBird,Low,Least Concern,Schedule-IV,,
410,Leiothrichidae (Laughingthrushes and Allies),Blue-winged Minla,Actinodura cyanouroptera,eBird,Low,Least Concern,Schedule-IV,,
411,Leiothrichidae (Laughingthrushes and Allies),Chestnut-tailed Minla,Actinodura strigula,eBird,Low,Least Concern,Schedule-IV,,
412,Regulidae (Kinglets),Goldcrest,Regulus regulus,eBird,NA,Least Concern,Schedule-IV,,!
413,Tichodromidae (Wallcreeper),Wallcreeper,Tichodroma muraria,eBird,Low,Least Concern,Schedule-IV,*,
414,Sittidae (Nuthatches),Chestnut-bellied Nuthatch,Sitta cinnamoventris,eBird,Low,Least Concern,Schedule-IV,*,
415,Sittidae (Nuthatches),White-tailed Nuthatch,Sitta himalayensis,eBird,Low,Least Concern,Schedule-IV,*,
416,Sittidae (Nuthatches),Velvet-fronted Nuthatch,Sitta frontalis,eBird,Moderate,Least Concern,Schedule-IV,*,
417,Sittidae (Nuthatches),Beautiful Nuthatch,Sitta formosa,eBird,High,Vulnerable,Schedule-IV,*,
418,Certhiidae (Treecreepers),Hodgson's Treecreeper,Certhia hodgsoni,eBird,Moderate,Least Concern,Schedule-IV,*,
419,Certhiidae (Treecreepers),Rusty-flanked Treecreeper,Certhia nipalensis,eBird,Moderate,Least Concern,Schedule-IV,,
420,Certhiidae (Treecreepers),Sikkim Treecreeper,Certhia discolor,eBird,Moderate,Least Concern,Schedule-IV,,
421,Troglodytidae (Wrens),Eurasian Wren,Troglodytes troglodytes,eBird,Low,Least Concern,Schedule-IV,,
422,Elachuridae (Spotted Elachura),Spotted Elachura,Elachura formosa,eBird,NA,Least Concern,Schedule-IV,,
423,Cinclidae (Dippers),Brown Dipper,Cinclus pallasii,eBird,Low,Least Concern,Schedule-IV,,
424,Sturnidae (Starlings),Common Hill Myna,Gracula religiosa,eBird,Low,Least Concern,Schedule-I,*,
425,Sturnidae (Starlings),European Starling,Sturnus vulgaris,eBird,Moderate,Least Concern,Schedule-IV,,!
426,Sturnidae (Starlings),Asian Pied Starling,Gracupica contra,eBird,Low,Least Concern,Schedule-IV,*,
427,Sturnidae (Starlings),Chestnut-tailed Starling,Sturnia malabarica,eBird,Low,Least Concern,Schedule-IV,*,
428,Sturnidae (Starlings),Common Myna,Acridotheres tristis,eBird,Low,Least Concern,Schedule-IV,,
429,Sturnidae (Starlings),Jungle Myna,Acridotheres fuscus,eBird,Moderate,Least Concern,Schedule-IV,*,
430,Sturnidae (Starlings),Great Myna,Acridotheres grandis,eBird,Low,Least Concern,Schedule-IV,*,
431,Sturnidae (Starlings),Spot-winged Starling,Saroglossa spilopterus,eBird,Moderate,Least Concern,Schedule-IV,*,
432,Turdidae (Thrushes and Allies),Long-tailed Thrush,Zoothera dixoni,eBird,Moderate,Least Concern,Schedule-IV,*,
433,Turdidae (Thrushes and Allies),Dark-sided Thrush,Zoothera marginata,eBird,Moderate,Least Concern,Schedule-IV,*,
434,Turdidae (Thrushes and Allies),Long-billed Thrush,Zoothera monticola,eBird,Low,Least Concern,Schedule-IV,,
435,Turdidae (Thrushes and Allies),Scaly Thrush,Zoothera dauma,eBird,Low,Least Concern,Schedule-IV,*,
436,Turdidae (Thrushes and Allies),Purple Cochoa,Cochoa purpurea,eBird,Moderate,Least Concern,Schedule-IV,*,
437,Turdidae (Thrushes and Allies),Green Cochoa,Cochoa viridis,eBird,NA,Least Concern,Schedule-IV,*,
438,Turdidae (Thrushes and Allies),Orange-headed Thrush,Geokichla citrina,eBird,Moderate,Least Concern,Schedule-IV,*,
439,Turdidae (Thrushes and Allies),Gray-winged Blackbird,Turdus boulboul,eBird,Low,Least Concern,Schedule-IV,*,
440,Turdidae (Thrushes and Allies),Black-breasted Thrush,Turdus dissimilis,eBird,NA,Least Concern,Schedule-IV,*,
441,Turdidae (Thrushes and Allies),Gray-sided Thrush,Turdus feae,eBird,NA,Vulnerable,Schedule-IV,*,
442,Turdidae (Thrushes and Allies),Eyebrowed Thrush,Turdus obscurus,eBird,NA,Least Concern,Schedule-IV,*,
443,Turdidae (Thrushes and Allies),White-collared Blackbird,Turdus albocinctus,eBird,Low,Least Concern,Schedule-IV,*,
444,Turdidae (Thrushes and Allies),Chestnut Thrush,Turdus rubrocanus,eBird,NA,Least Concern,Schedule-IV,*,
445,Turdidae (Thrushes and Allies),Black-throated Thrush,Turdus atrogularis,eBird,NA,Least Concern,Schedule-IV,*,
446,Turdidae (Thrushes and Allies),Red-throated Thrush,Turdus ruficollis,eBird,NA,Least Concern,Schedule-IV,*,
447,Turdidae (Thrushes and Allies),Dusky Thrush,Turdus eunomus,eBird,NA,Least Concern,Schedule-IV,*,
448,Turdidae (Thrushes and Allies),Naumann's Thrush,Turdus naumanni,eBird,NA,Least Concern,Schedule-IV,*,
449,Muscicapidae (Old World Flycatchers),Dark-sided Flycatcher,Muscicapa sibirica,eBird,Low,Least Concern,Schedule-IV,*,
450,Muscicapidae (Old World Flycatchers),Ferruginous Flycatcher,Muscicapa ferruginea,eBird,NA,Least Concern,Schedule-IV,*,
451,Muscicapidae (Old World Flycatchers),Oriental Magpie-Robin,Copsychus saularis,eBird,Low,Least Concern,Schedule-IV,*,
452,Muscicapidae (Old World Flycatchers),White-rumped Shama,Copsychus malabaricus,eBird,Low,Least Concern,Schedule-IV,*,
453,Muscicapidae (Old World Flycatchers),White-gorgeted Flycatcher,Anthipes monileger,eBird,Moderate,Least Concern,Schedule-IV,,
454,Muscicapidae (Old World Flycatchers),Pale-chinned Blue Flycatcher,Cyornis poliogenys,eBird,Low,Least Concern,Schedule-IV,*,
455,Muscicapidae (Old World Flycatchers),Pale Blue Flycatcher,Cyornis unicolor,eBird,NA,Least Concern,Schedule-IV,,
456,Muscicapidae (Old World Flycatchers),Blue-throated Flycatcher,Cyornis rubeculoides,eBird,Low,Least Concern,Schedule-IV,*,
457,Muscicapidae (Old World Flycatchers),Large Blue Flycatcher,Cyornis magnirostris,eBird,High,Least Concern,Schedule-IV,*,
458,Muscicapidae (Old World Flycatchers),Hill Blue Flycatcher,Cyornis banyumas,eBird,NA,Least Concern,Schedule-IV,*,
459,Muscicapidae (Old World Flycatchers),Large Niltava,Niltava grandis,eBird,Low,Least Concern,Schedule-IV,,
460,Muscicapidae (Old World Flycatchers),Small Niltava,Niltava macgrigoriae,eBird,Low,Least Concern,Schedule-IV,,
461,Muscicapidae (Old World Flycatchers),Rufous-bellied Niltava,Niltava sundara,eBird,Moderate,Least Concern,Schedule-IV,*,
462,Muscicapidae (Old World Flycatchers),Vivid Niltava,Niltava vivida,eBird,NA,Least Concern,Schedule-IV,*,
463,Muscicapidae (Old World Flycatchers),Verditer Flycatcher,Eumyias thalassinus,eBird,Low,Least Concern,Schedule-IV,,
464,Muscicapidae (Old World Flycatchers),Rusty-bellied Shortwing,Brachypteryx hyperythra,eBird,Moderate,Near Threatened,Schedule-IV,*,
465,Muscicapidae (Old World Flycatchers),Gould's Shortwing,Brachypteryx stellata,eBird,Moderate,Least Concern,Schedule-IV,*,
466,Muscicapidae (Old World Flycatchers),Lesser Shortwing,Brachypteryx leucophris,eBird,Low,Least Concern,Schedule-IV,,
467,Muscicapidae (Old World Flycatchers),Himalayan Shortwing,Brachypteryx cruralis,eBird,NA,NA,NA,,
468,Muscicapidae (Old World Flycatchers),Indian Blue Robin,Larvivora brunnea,eBird,Low,Least Concern,Schedule-IV,*,
469,Muscicapidae (Old World Flycatchers),Bluethroat,Luscinia svecica,eBird,Low,Least Concern,Schedule-IV,*,
470,Muscicapidae (Old World Flycatchers),Blue Whistling-Thrush,Myophonus caeruleus,eBird,Low,Least Concern,Schedule-IV,,
471,Muscicapidae (Old World Flycatchers),Little Forktail,Enicurus scouleri,eBird,Low,Least Concern,Schedule-IV,,
472,Muscicapidae (Old World Flycatchers),White-crowned Forktail,Enicurus leschenaulti,eBird,NA,Least Concern,Schedule-IV,*,
473,Muscicapidae (Old World Flycatchers),Spotted Forktail,Enicurus maculatus,eBird,Low,Least Concern,Schedule-IV,,
474,Muscicapidae (Old World Flycatchers),Black-backed Forktail,Enicurus immaculatus,eBird,Low,Least Concern,Schedule-IV,*,
475,Muscicapidae (Old World Flycatchers),Slaty-backed Forktail,Enicurus schistaceus,eBird,Low,Least Concern,Schedule-IV,,
476,Muscicapidae (Old World Flycatchers),Siberian Rubythroat,Calliope calliope,eBird,Moderate,Least Concern,Schedule-IV,*,
477,Muscicapidae (Old World Flycatchers),Chinese Rubythroat,Calliope tschebaiewi,eBird,High,Least Concern,Schedule-IV,*,
478,Muscicapidae (Old World Flycatchers),White-tailed Robin,Myiomela leucura,eBird,Moderate,Least Concern,Schedule-IV,*,
479,Muscicapidae (Old World Flycatchers),Blue-fronted Robin,Cinclidium frontale,eBird,Moderate,Least Concern,Schedule-IV,*,
480,Muscicapidae (Old World Flycatchers),Himalayan Bluetail,Tarsiger rufilatus,eBird,Low,Least Concern,Schedule-IV,*,
481,Muscicapidae (Old World Flycatchers),Rufous-breasted Bush-Robin,Tarsiger hyperythrus,eBird,Moderate,Least Concern,Schedule-IV,,
482,Muscicapidae (Old World Flycatchers),White-browed Bush-Robin,Tarsiger indicus,eBird,NA,Least Concern,Schedule-IV,,
483,Muscicapidae (Old World Flycatchers),Golden Bush-Robin,Tarsiger chrysaeus,eBird,Low,Least Concern,Schedule-IV,,
484,Muscicapidae (Old World Flycatchers),Slaty-backed Flycatcher,Ficedula erithacus,eBird,NA,Least Concern,Schedule-IV,*,
485,Muscicapidae (Old World Flycatchers),Slaty-blue Flycatcher,Ficedula tricolor,eBird,Low,Least Concern,Schedule-IV,,
486,Muscicapidae (Old World Flycatchers),Snowy-browed Flycatcher,Ficedula hyperythra,eBird,Low,Least Concern,Schedule-IV,*,
487,Muscicapidae (Old World Flycatchers),Pygmy Flycatcher,Ficedula hodgsoni,eBird,Moderate,Least Concern,Schedule-IV,*,
488,Muscicapidae (Old World Flycatchers),Rufous-gorgeted Flycatcher,Ficedula strophiata,eBird,Low,Least Concern,Schedule-IV,,
489,Muscicapidae (Old World Flycatchers),Sapphire Flycatcher,Ficedula sapphira,eBird,Moderate,Least Concern,Schedule-IV,*,
490,Muscicapidae (Old World Flycatchers),Little Pied Flycatcher,Ficedula westermanni,eBird,Low,Least Concern,Schedule-IV,*,
491,Muscicapidae (Old World Flycatchers),Ultramarine Flycatcher,Ficedula superciliaris,eBird,Low,Least Concern,Schedule-IV,*,
492,Muscicapidae (Old World Flycatchers),Taiga Flycatcher,Ficedula albicilla,eBird,NA,Least Concern,Schedule-IV,*,
493,Muscicapidae (Old World Flycatchers),Blue-fronted Redstart,Phoenicurus frontalis,eBird,Low,Least Concern,Schedule-IV,,
494,Muscicapidae (Old World Flycatchers),Plumbeous Redstart,Phoenicurus fuliginosus,eBird,Moderate,Least Concern,Schedule-IV,,
495,Muscicapidae (Old World Flycatchers),White-capped Redstart,Phoenicurus leucocephalus,eBird,Low,Least Concern,Schedule-IV,,
496,Muscicapidae (Old World Flycatchers),Hodgson's Redstart,Phoenicurus hodgsoni,eBird,NA,Least Concern,Schedule-IV,,
497,Muscicapidae (Old World Flycatchers),White-throated Redstart,Phoenicurus schisticeps,eBird,NA,Least Concern,Schedule-IV,*,
498,Muscicapidae (Old World Flycatchers),Black Redstart,Phoenicurus ochruros,eBird,Moderate,Least Concern,Schedule-IV,,
499,Muscicapidae (Old World Flycatchers),Daurian Redstart,Phoenicurus auroreus,eBird,NA,Least Concern,Schedule-IV,,
500,Muscicapidae (Old World Flycatchers),Chestnut-bellied Rock-Thrush,Monticola rufiventris,eBird,Low,Least Concern,Schedule-IV,,
501,Muscicapidae (Old World Flycatchers),Blue Rock-Thrush,Monticola solitarius,eBird,Moderate,Least Concern,Schedule-IV,,
502,Muscicapidae (Old World Flycatchers),Siberian Stonechat,Saxicola maurus,eBird,Low,Least Concern,Schedule-IV,,
503,Muscicapidae (Old World Flycatchers),Pied Bushchat,Saxicola caprata,eBird,Low,Least Concern,Schedule-IV,*,
504,Muscicapidae (Old World Flycatchers),Gray Bushchat,Saxicola ferreus,eBird,Low,Least Concern,Schedule-IV,,
505,Muscicapidae (Old World Flycatchers),Isabelline Wheatear,Oenanthe isabellina,eBird,Low,Least Concern,Schedule-IV,*,
506,Dicaeidae (Flowerpeckers),Yellow-bellied Flowerpecker,Dicaeum melanozanthum,eBird,NA,Least Concern,Schedule-IV,*,
507,Dicaeidae (Flowerpeckers),Plain Flowerpecker,Dicaeum minullum,eBird,Low,Least Concern,Schedule-IV,*,
508,Dicaeidae (Flowerpeckers),Fire-breasted Flowerpecker,Dicaeum ignipectus,eBird,Low,Least Concern,Schedule-IV,,
509,Dicaeidae (Flowerpeckers),Scarlet-backed Flowerpecker,Dicaeum cruentatum,eBird,Moderate,Least Concern,Schedule-IV,*,
510,Nectariniidae (Sunbirds and Spiderhunters),Ruby-cheeked Sunbird,Chalcoparia singalensis,eBird,Low,Least Concern,Schedule-IV,*,
511,Nectariniidae (Sunbirds and Spiderhunters),Purple Sunbird,Cinnyris asiaticus,eBird,Low,Least Concern,Schedule-IV,*,
512,Nectariniidae (Sunbirds and Spiderhunters),Fire-tailed Sunbird,Aethopyga ignicauda,eBird,Low,Least Concern,Schedule-IV,*,
513,Nectariniidae (Sunbirds and Spiderhunters),Black-throated Sunbird,Aethopyga saturata,eBird,Low,Least Concern,Schedule-IV,,
514,Nectariniidae (Sunbirds and Spiderhunters),Mrs. Gould's Sunbird,Aethopyga gouldiae,eBird,Low,Least Concern,Schedule-IV,*,
515,Nectariniidae (Sunbirds and Spiderhunters),Green-tailed Sunbird,Aethopyga nipalensis,eBird,Low,Least Concern,Schedule-IV,,
516,Nectariniidae (Sunbirds and Spiderhunters),Crimson Sunbird,Aethopyga siparaja,eBird,Low,Least Concern,Schedule-IV,*,
517,Nectariniidae (Sunbirds and Spiderhunters),Little Spiderhunter,Arachnothera longirostra,eBird,Moderate,Least Concern,Schedule-IV,,
518,Nectariniidae (Sunbirds and Spiderhunters),Streaked Spiderhunter,Arachnothera magna,eBird,Low,Least Concern,Schedule-IV,,
519,Chloropseidae (Leafbirds),Blue-winged Leafbird,Chloropsis cochinchinensis,eBird,NA,Least Concern,Schedule-IV,*,
520,Chloropseidae (Leafbirds),Golden-fronted Leafbird,Chloropsis aurifrons,eBird,Low,Least Concern,Schedule-IV,*,
521,Chloropseidae (Leafbirds),Orange-bellied Leafbird,Chloropsis hardwickii,eBird,Low,Least Concern,Schedule-IV,,
522,Ploceidae (Weavers and Allies),Streaked Weaver,Ploceus manyar,eBird,Moderate,Least Concern,Schedule-IV,*,
523,Ploceidae (Weavers and Allies),Baya Weaver,Ploceus philippinus,eBird,Low,Least Concern,Schedule-IV,*,
524,Estrildidae (Waxbills and Allies),Red Avadavat,Amandava amandava,eBird,Low,Least Concern,Schedule-IV,*,
525,Estrildidae (Waxbills and Allies),White-rumped Munia,Lonchura striata,eBird,Moderate,Least Concern,Schedule-IV,,
526,Estrildidae (Waxbills and Allies),Scaly-breasted Munia,Lonchura punctulata,eBird,Low,Least Concern,Schedule-IV,,
527,Estrildidae (Waxbills and Allies),Chestnut Munia,Lonchura atricapilla,eBird,NA,Least Concern,Schedule-IV,,
528,Prunellidae (Accentors),Alpine Accentor,Prunella collaris,eBird,Low,Least Concern,Schedule-IV,*,
529,Prunellidae (Accentors),Rufous-breasted Accentor,Prunella strophiata,eBird,Low,Least Concern,Schedule-IV,,
530,Prunellidae (Accentors),Maroon-backed Accentor,Prunella immaculata,eBird,Moderate,Least Concern,Schedule-IV,,
531,Passeridae (Old World Sparrows),House Sparrow,Passer domesticus,eBird,Low,Least Concern,Schedule-IV,*,
532,Passeridae (Old World Sparrows),Russet Sparrow,Passer cinnamomeus,eBird,Low,Least Concern,Schedule-IV,,!
533,Passeridae (Old World Sparrows),Eurasian Tree Sparrow,Passer montanus,eBird,Low,Least Concern,Schedule-IV,,
534,Motacillidae (Wagtails and Pipits),Gray Wagtail,Motacilla cinerea,eBird,Low,Least Concern,Schedule-IV,,
535,Motacillidae (Wagtails and Pipits),Western Yellow Wagtail,Motacilla flava,eBird,Low,Least Concern,Schedule-IV,*,
536,Motacillidae (Wagtails and Pipits),Citrine Wagtail,Motacilla citreola,eBird,Low,Least Concern,Schedule-IV,*,
537,Motacillidae (Wagtails and Pipits),White-browed Wagtail,Motacilla maderaspatensis,eBird,Moderate,Least Concern,Schedule-IV,*,
538,Motacillidae (Wagtails and Pipits),White Wagtail,Motacilla alba,eBird,Moderate,Least Concern,Schedule-IV,,
539,Motacillidae (Wagtails and Pipits),Richard's Pipit,Anthus richardi,eBird,Moderate,Least Concern,Schedule-IV,*,
540,Motacillidae (Wagtails and Pipits),Paddyfield Pipit,Anthus rufulus,eBird,Low,Least Concern,Schedule-IV,*,
541,Motacillidae (Wagtails and Pipits),Blyth's Pipit,Anthus godlewskii,eBird,Low,Least Concern,Schedule-IV,*,
542,Motacillidae (Wagtails and Pipits),Rosy Pipit,Anthus roseatus,eBird,Low,Least Concern,Schedule-IV,,
543,Motacillidae (Wagtails and Pipits),Olive-backed Pipit,Anthus hodgsoni,eBird,Moderate,Least Concern,Schedule-IV,,
544,"Fringillidae (Finches, Euphonias, and Allies)",Collared Grosbeak,Mycerobas affinis,eBird,Moderate,Least Concern,Schedule-IV,*,
545,"Fringillidae (Finches, Euphonias, and Allies)",Common Rosefinch,Carpodacus erythrinus,eBird,Low,Least Concern,Schedule-IV,*,
546,"Fringillidae (Finches, Euphonias, and Allies)",Scarlet Finch,Carpodacus sipahi,eBird,Low,Least Concern,Schedule-IV,*,
547,"Fringillidae (Finches, Euphonias, and Allies)",Dark-rumped Rosefinch,Carpodacus edwardsii,eBird,NA,Least Concern,Schedule-IV,*,
548,"Fringillidae (Finches, Euphonias, and Allies)",Crimson-browed Finch,Carpodacus subhimachalus,eBird,Moderate,Least Concern,Schedule-IV,,
549,"Fringillidae (Finches, Euphonias, and Allies)",Chinese White-browed Rosefinch,Carpodacus dubius,eBird,NA,Least Concern,Schedule-IV,*,
550,"Fringillidae (Finches, Euphonias, and Allies)",Brown Bullfinch,Pyrrhula nipalensis,eBird,Moderate,Least Concern,Schedule-IV,*,
551,"Fringillidae (Finches, Euphonias, and Allies)",Gray-headed Bullfinch,Pyrrhula erythaca,eBird,NA,Least Concern,Schedule-IV,,
552,"Fringillidae (Finches, Euphonias, and Allies)",Gold-naped Finch,Pyrrhoplectes epauletta,eBird,Moderate,Least Concern,Schedule-IV,*,
553,"Fringillidae (Finches, Euphonias, and Allies)",Dark-breasted Rosefinch,Procarduelis nipalensis,eBird,Low,Least Concern,Schedule-IV,*,
554,"Fringillidae (Finches, Euphonias, and Allies)",Plain Mountain-Finch,Leucosticte nemoricola,eBird,Low,Least Concern,Schedule-IV,*,
555,"Fringillidae (Finches, Euphonias, and Allies)",Black-headed Greenfinch,Chloris ambigua,eBird,NA,Least Concern,Schedule-IV,,
556,Emberizidae (Old World Buntings),Crested Bunting,Emberiza lathami,eBird,Moderate,Least Concern,Schedule-IV,,
557,Emberizidae (Old World Buntings),Chestnut-eared Bunting,Emberiza fucata,eBird,NA,Least Concern,Schedule-IV,,
558,Emberizidae (Old World Buntings),Yellow-breasted Bunting,Emberiza aureola,eBird,High,Critically Endangered,Schedule-IV,*,
559,Emberizidae (Old World Buntings),Little Bunting,Emberiza pusilla,eBird,NA,Least Concern,Schedule-IV,,
560,Emberizidae (Old World Buntings),Rustic Bunting,Emberiza rustica,eBird,NA,NA,NA,*,
561,Emberizidae (Old World Buntings),Black-faced Bunting,Emberiza spodocephala,eBird,NA,Least Concern,Schedule-IV,*,
562,Emberizidae (Old World Buntings),Chestnut Bunting,Emberiza rutila,eBird,NA,Least Concern,Schedule-IV,*,
563,Emberizidae (Old World Buntings),Tristram's Bunting,Emberiza tristrami,eBird,NA,Least Concern,Schedule-IV,*,
