"COMMON.NAME","scientific.name","Concern.Status"
"Brown-headed Barbet (Large Green Barbet)","Psilopogon zeylanicus","Low"
"Verditer Flycatcher","Eumyias thalassinus","Low"
"Changeable Hawk-Eagle","Nisaetus cirrhatus","Low"
"Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker)","Yungipicus nanus","Moderate"
"Pacific Golden-Plover","Pluvialis fulva","High"
"Broad-billed Sandpiper","Calidris falcinellus","Moderate"
"Little Swift (Indian House Swift)","Apus affinis","Low"
"Sanderling","Calidris alba","Moderate"
"River Tern","Sterna aurantia","Moderate"
"Garganey","Spatula querquedula","Low"
"Cotton Pygmy-Goose (Cotton Teal)","Nettapus coromandelianus","High"
"Greenish Warbler","Phylloscopus trochiloides","Moderate"
"Blue-bearded Bee-eater","Nyctyornis athertoni","Low"
"Crested Treeswift","Hemiprocne coronata","High"
"Thick-billed Flowerpecker","Dicaeum agile","Moderate"
"Black-hooded Oriole","Oriolus xanthornus","Low"
"Mottled Wood-Owl","Strix ocellata",NA
"Knob-billed Duck (Comb Duck)","Sarkidiornis melanotos","Moderate"
"Lesser Flamingo","Phoeniconaias minor","Moderate"
"Chestnut-tailed Starling","Sturnia malabarica","Low"
"Great Cormorant","Phalacrocorax carbo","Low"
"Common Tern","Sterna hirundo","Low"
"Brown-backed Needletail","Hirundapus giganteus","Moderate"
"White-bellied Woodpecker (Great Black Woodpecker)","Dryocopus javensis","Moderate"
"Lesser Yellownape","Picus chlorolophus","Low"
"Brown Hawk-Owl","Ninox scutulata",NA
"Tickell's Blue Flycatcher","Cyornis tickelliae","Low"
"Wayanad Laughingthrush","Ianthocincla delesserti","Moderate"
"White-rumped Needletail (White-rumped Spinetail)","Zoonavena sylvatica","Moderate"
"Heart-spotted Woodpecker","Hemicircus canente","High"
"Cinereous Tit (Great Tit)","Parus cinereus","Low"
"Banded Bay Cuckoo","Cacomantis sonneratii","Moderate"
"White-rumped Shama","Copsychus malabaricus","Low"
"Large Cuckooshrike","Coracina macei","High"
"Rufous-bellied Eagle","Lophotriorchis kienerii","Moderate"
"Black-throated Munia","Lonchura kelaarti","Low"
"Palani Laughingthrush (Palani Chilappan)","Montecincla fairbanki","Moderate"
"Speckled Piculet","Picumnus innominatus","Low"
"Green Imperial-Pigeon","Ducula aenea","Low"
"Indian Scops-Owl (Collared Scops-Owl)","Otus bakkamoena",NA
"Nilgiri Pipit","Anthus nilghiriensis","High"
"White-bellied Sholakili","Sholicola albiventris","High"
"Tickell's Leaf Warbler","Phylloscopus affinis","Low"
"Oriental Dollarbird","Eurystomus orientalis","Low"
"Common Babbler","Turdoides caudata","Low"
"Blue-capped Rock-Thrush","Monticola cinclorhyncha","Low"
"Common Rosefinch","Carpodacus erythrinus","Low"
"Western Crowned Warbler","Phylloscopus occipitalis","Moderate"
"Stork-billed Kingfisher","Pelargopsis capensis","Low"
"Red-necked Falcon","Falco chicquera","High"
"Spot-bellied Eagle-Owl","Bubo nipalensis",NA
"Blue-throated Flycatcher","Cyornis rubeculoides","Low"
"Crested Goshawk","Accipiter trivirgatus","Low"
"Jungle Nightjar (Indian Jungle Nightjar)","Caprimulgus indicus",NA
"Eurasian Sparrowhawk","Accipiter nisus","Moderate"
"Tawny-bellied Babbler","Dumetia hyperythra","Moderate"
"Spot-breasted Fantail (White-spotted Fantail)","Rhipidura albogularis","Low"
"Indian Nuthatch","Sitta castanea","High"
"Jerdon's Leafbird (Jerdon's Chloropsis)","Chloropsis jerdoni","Moderate"
"Eurasian Wigeon","Mareca penelope","Low"
"Large Hawk-Cuckoo","Hierococcyx sparverioides","Low"
"Black Bittern","Ixobrychus flavicollis","Moderate"
"Watercock","Gallicrex cinerea","Moderate"
"Woolly-necked Stork","Ciconia episcopus","Low"
"Common Snipe","Gallinago gallinago","Low"
"Paddyfield Warbler","Acrocephalus agricola","Low"
"Common House-Martin (Northern House-Martin)","Delichon urbicum",NA
"Jungle Bush-Quail","Perdicula asiatica","Moderate"
"Lesser Whitethroat","Sylvia curruca","Low"
"Blue Rock-Thrush","Monticola solitarius","Moderate"
"Sirkeer Malkoha","Taccocua leschenaultii","Moderate"
"Common Buzzard","Buteo buteo","Low"
"Nilgiri Sholakili","Sholicola major","High"
"Kashmir Flycatcher","Ficedula subrubra","High"
"Baillon's Crake","Zapornia pusilla","Low"
"Ruddy-breasted Crake","Zapornia fusca","Low"
"Bronze-winged Jacana","Metopidius indicus","Low"
"Legge's Hawk-Eagle","Nisaetus kelaarti","Moderate"
"Green-winged Teal (Common Teal)","Anas crecca","Low"
"Yellow-footed Green-Pigeon","Treron phoenicopterus","Low"
"Grey-bellied Cuckoo","Cacomantis passerinus","Low"
"Black-headed Gull","Chroicocephalus ridibundus","Moderate"
"Nilgiri Thrush","Zoothera neilgherriensis","High"
"Citrine Wagtail","Motacilla citreola","Low"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis","High"
"Red-breasted Flycatcher","Ficedula parva","Low"
"Common Pochard","Aythya ferina","Moderate"
"Oriental Turtle-Dove","Streptopelia orientalis","Low"
"Bar-headed Goose","Anser indicus","Low"
"Rain Quail","Coturnix coromandelica","Moderate"
"Painted Bush-Quail","Perdicula erythrorhyncha","Moderate"
"Temminck's Stint","Calidris temminckii","Moderate"
"Nilgiri Laughingthrush (Nilgiri Chilappan)","Montecincla cachinnans","High"
"Nilgiri Wood-Pigeon","Columba elphinstonii","Moderate"
"Hume's Warbler","Phylloscopus humei","Low"
"Red Avadavat","Amandava amandava","Low"
"Pied Harrier","Circus melanoleucos",NA
"Tufted Duck","Aythya fuligula","Low"
"Small Pratincole","Glareola lactea","Moderate"
"White Wagtail","Motacilla alba","Moderate"
"Greater Painted-Snipe","Rostratula benghalensis","Moderate"
"Orange-breasted Green-Pigeon","Treron bicinctus","Low"
"Wire-tailed Swallow","Hirundo smithii","Low"
"Ashambu Laughingthrush (Ashambu Chilappan)","Montecincla meridionalis","High"
"Siberian Stonechat (Common Stonechat)","Saxicola maurus","Low"
"Black Baza","Aviceda leuphotes","Moderate"
"Pied Avocet","Recurvirostra avosetta","Moderate"
"Indian Spotted Eagle","Clanga hastata","Moderate"
"Greater Spotted Eagle","Clanga clanga","Moderate"
"Steppe Eagle","Aquila nipalensis","High"
"Short-eared Owl","Asio flammeus","Low"
"White-browed Fantail","Rhipidura aureola","Low"
"Lesser Fish-Eagle","Haliaeetus humilis","Moderate"
"Tawny Eagle","Aquila rapax","High"
"Asian Pied Starling (Pied Myna)","Gracupica contra","Low"
"Black-capped Kingfisher","Halcyon pileata","Moderate"
"Malabar Pied-Hornbill","Anthracoceros coronatus","Moderate"
"Indian Cuckoo","Cuculus micropterus","Moderate"
"Bridled Tern","Onychoprion anaethetus",NA
"Brown Noddy","Anous stolidus",NA
"Streaked Shearwater","Calonectris leucomelas",NA
"Flesh-footed Shearwater","Ardenna carneipes",NA
"Greater Sand-Plover","Charadrius leschenaultii","Low"
"White-bellied Minivet","Pericrocotus erythropygius","Low"
"Malabar Lark","Galerida malabarica","Moderate"
"White-naped Woodpecker","Chrysocolaptes festivus","Low"
"White-bellied Sea-Eagle","Haliaeetus leucogaster","Moderate"
"Great Thick-knee (Great Stone-curlew)","Esacus recurvirostris","Moderate"
"Pin-tailed Snipe","Gallinago stenura","Moderate"
"Sri Lanka Frogmouth","Batrachostomus moniliger",NA
"Malayan Night-Heron","Gorsachius melanolophus","Moderate"
"Grey-headed Bulbul","Brachypodius priocephalus","Moderate"
"Amur Falcon","Falco amurensis","Low"
"Yellow-legged Buttonquail","Turnix tanki","Moderate"
"White-winged Tern","Chlidonias leucopterus",NA
"Fork-tailed Drongo-Cuckoo","Surniculus dicruroides","Low"
"Black Stork","Ciconia nigra","Moderate"
"Barred Buttonquail","Turnix suscitator","Low"
"Hair-crested Drongo (Spangled Drongo)","Dicrurus hottentottus","Low"
"Savanna Nightjar","Caprimulgus affinis",NA
"White-rumped Vulture","Gyps bengalensis","High"
"Tytler's Leaf Warbler","Phylloscopus tytleri","High"
"Blyth's Pipit","Anthus godlewskii","Low"
"Yellow-throated Bulbul","Pycnonotus xantholaemus","Moderate"
"Blyth's Swift (Fork-tailed Swift)","Apus leuconyx","Moderate"
"Taiga Flycatcher (Red-throated Flycatcher)","Ficedula albicilla",NA
"Brown Wood-Owl","Strix leptogrammica",NA
"Laggar Falcon","Falco jugger","Moderate"
"Long-toed Stint","Calidris subminuta",NA
"Common Ringed Plover","Charadrius hiaticula",NA
"Black Redstart","Phoenicurus ochruros","Moderate"
"Ferruginous Duck (Ferruginous Pochard)","Aythya nyroca","Low"
"White Stork","Ciconia ciconia",NA
"Indian Bushlark (Red-winged Bushlark)","Mirafra erythroptera","Low"
"Desert Wheatear","Oenanthe deserti","Low"
"Red-crested Pochard","Netta rufina","Low"
"Sykes's Warbler","Iduna rama",NA
"Red-headed Vulture","Sarcogyps calvus","High"
"Slender-billed Gull","Chroicocephalus genei","Low"
"Great Eared-Nightjar","Lyncornis macrotis",NA
"Common Cuckoo","Cuculus canorus","Moderate"
"European Bee-eater","Merops apiaster",NA
"White-tailed Iora (Marshall's Iora)","Aegithina nigrolutea","Low"
"Painted Sandgrouse","Pterocles indicus","Low"
"Jerdon's Baza","Aviceda jerdoni","Moderate"
"Broad-tailed Grassbird","Schoenicola platyurus","High"
"Spotted Redshank","Tringa erythropus","Low"
"Tree Pipit","Anthus trivialis","Low"
"Green Warbler","Phylloscopus nitidus",NA
"Indian Skimmer","Rynchops albicollis","High"
"Lesser Kestrel","Falco naumanni",NA
"Sri Lanka Bay-Owl","Phodilus assimilis",NA
"Indian Vulture (Indian Long-billed Vulture)","Gyps indicus","High"
"Streak-throated Swallow","Petrochelidon fluvicola","Low"
"Pied Thrush","Geokichla wardii","Moderate"
"Black-breasted Weaver (Bengal Weaver)","Ploceus benghalensis","Low"
"Bristled Grassbird","Chaetornis striata","High"
"Tawny Pipit","Anthus campestris","Moderate"
"Eurasian Wryneck","Jynx torquilla","Low"
"Ashy Minivet","Pericrocotus divaricatus",NA
"Tickell's Thrush","Turdus unicolor","Low"
"Olive-backed Pipit","Anthus hodgsoni","Moderate"
"Ultramarine Flycatcher","Ficedula superciliaris","Low"
"Tawny Lark (Sykes's Lark)","Galerida deva","Low"
"Pin-striped Tit-Babbler","Mixornis gularis","Low"
"European Roller","Coracias garrulus","Low"
"Common Swift","Apus apus",NA
"Long-legged Buzzard","Buteo rufinus","Low"
"Long-billed Pipit","Anthus similis","Low"
"Siberian Rubythroat","Calliope calliope","Moderate"
"Imperial Eagle","Aquila heliaca","Moderate"
"Grey-necked Bunting (Grey-hooded Bunting)","Emberiza buchanani","Low"
"Black-winged Cuckooshrike","Lalage melaschistos","Low"
"Isabelline Wheatear","Oenanthe isabellina","Low"
"Slaty-breasted Rail","Lewinia striata","Low"
"Eared Grebe (Black-necked Grebe)","Podiceps nigricollis",NA
"Bluethroat","Luscinia svecica","Low"
"Dunlin","Calidris alpina","Moderate"
"Asian Dowitcher","Limnodromus semipalmatus",NA
"Great Grey Shrike","Lanius excubitor","High"
"Eastern Orphean Warbler","Sylvia crassirostris","Low"
"Sandwich Tern","Thalasseus sandvicensis",NA
"Caspian Plover","Charadrius asiaticus",NA
"Roseate Tern","Sterna dougallii",NA
"Wilson's Storm-Petrel","Oceanites oceanicus",NA
"Grey-tailed Tattler","Tringa brevipes",NA
"Cinereous Vulture","Aegypius monachus","Moderate"
"Black-backed Dwarf-Kingfisher (Oriental Dwarf Kingfisher)","Ceyx erithaca","Moderate"
"Great Crested Grebe","Podiceps cristatus","Low"
"Ruddy Shelduck (Brahminy Duck)","Tadorna ferruginea","Low"
"Great White Pelican (Rosy Pelican)","Pelecanus onocrotalus","Low"
"White-naped Tit (White-winged Tit)","Machlolophus nuchalis","High"
"Blue-cheeked Bee-eater","Merops persicus","Low"
"Black-bellied Tern","Sterna acuticauda","High"
"Lesser Noddy","Anous tenuirostris",NA
"Red-headed Bunting","Emberiza bruniceps","Low"
"Dusky Warbler","Phylloscopus fuscatus","Low"
"Pallas's Grasshopper-Warbler","Locustella certhiola",NA
"Black-headed Bunting","Emberiza melanocephala","Low"
"Slaty-legged Crake","Rallina eurizonoides","Moderate"
"Gadwall","Mareca strepera","Low"
"Singing Bushlark","Mirafra cantillans","Moderate"
"Rock Bush-Quail","Perdicula argoondah","Low"
"Great Snipe","Gallinago media",NA
"Sooty Gull","Ichthyaetus hemprichii",NA
"Falcated Duck","Mareca falcata",NA
"Red-necked Phalarope","Phalaropus lobatus",NA
"Brown Crake","Zapornia akool","Moderate"
"Rock Pigeon (Blue Rock Pigeon)","Columba livia","Low"
"Yellow-browed Warbler","Phylloscopus inornatus","Moderate"
"Dark-sided Flycatcher","Muscicapa sibirica","Low"
"Eurasian Woodcock","Scolopax rusticola",NA
"Red-necked Stint","Calidris ruficollis",NA
"Chinese Pond-Heron","Ardeola bacchus",NA
"Brown-rumped Minivet","Pericrocotus cantonensis",NA
"Lesser Adjutant","Leptoptilos javanicus","Moderate"
"Eyebrowed Thrush","Turdus obscurus",NA
"Common Grasshopper-Warbler","Locustella naevia",NA
"Lesser Cuckoo","Cuculus poliocephalus","Moderate"
"Blue-and-white Flycatcher","Cyanoptila cyanomelana",NA
"Jack Snipe","Lymnocryptes minimus",NA
"Christmas Island Frigatebird","Fregata andrewsi",NA
"Bank Swallow (Sand Martin)","Riparia riparia",NA
"Sooty Tern","Onychoprion fuscatus",NA
"Lesser Frigatebird","Fregata ariel",NA
"Greylag Goose","Anser anser","Low"
"Great Frigatebird","Fregata minor",NA
"Daurian Starling","Agropsar sturninus",NA
"Spotted Flycatcher","Muscicapa striata",NA
NA,NA,NA
"Swinhoe's Storm-Petrel","Oceanodroma monorhis",NA
"White-tailed Tropicbird","Phaethon lepturus",NA
"Red Knot","Calidris canutus",NA
"Isabelline Shrike","Lanius isabellinus","Low"
"Saker Falcon","Falco cherrug",NA
"Sulphur-bellied Warbler","Phylloscopus griseolus","Moderate"
"Wedge-tailed Shearwater","Ardenna pacifica",NA
"Eastern Marsh-Harrier","Circus spilonotus",NA
"Small Buttonquail (Common Buttonquail)","Turnix sylvaticus",NA
"Lesser Coucal","Centropus bengalensis","Low"
"Blue-eared Kingfisher","Alcedo meninting","Low"
