Common Name,Scientific Name,Source,SoIB Concern Status,IUCN Red List,WLPA Schedule
Barn Swallow,Hirundo rustica,eBird,Low,Least Concern,Schedule-IV
Red-rumped Swallow,Cecropis daurica,eBird,Low,Least Concern,Schedule-IV
Striated Swallow,Cecropis striolata,eBird,NA,Least Concern,Schedule-IV
Asian House-Martin,Delichon dasypus,eBird,NA,Least Concern,Schedule-IV
Nepal House-Martin,Delichon nipalense,eBird,Moderate,Least Concern,Schedule-IV
Black-crested Bulbul,Rubigula flaviventris,eBird,Low,Least Concern,Schedule-IV
Striated Bulbul,Pycnonotus striatus,eBird,Low,Least Concern,Schedule-IV
Red-vented Bulbul,Pycnonotus cafer,eBird,Low,Least Concern,Schedule-IV
Red-whiskered Bulbul,Pycnonotus jocosus,eBird,Low,Least Concern,Schedule-IV
White-throated Bulbul,Alophoixus flaveolus,eBird,Low,Least Concern,Schedule-IV
Black Bulbul,Hypsipetes leucocephalus,eBird,Low,Least Concern,Schedule-IV
Ashy Bulbul,Hemixos flavala,eBird,Low,Least Concern,Schedule-IV
Mountain Bulbul,Ixos mcclellandii,eBird,Low,Least Concern,Schedule-IV
Ashy-throated Warbler,Phylloscopus maculipennis,eBird,Low,Least Concern,Schedule-IV
Buff-barred Warbler,Phylloscopus pulcher,eBird,Low,Least Concern,Schedule-IV
Yellow-browed Warbler,Phylloscopus inornatus,eBird,Moderate,Least Concern,Schedule-IV
Lemon-rumped Warbler,Phylloscopus chloronotus,eBird,Moderate,Least Concern,Schedule-IV
Tickell's Leaf Warbler,Phylloscopus affinis,eBird,Low,Least Concern,Schedule-IV
Dusky Warbler,Phylloscopus fuscatus,eBird,Low,Least Concern,Schedule-IV
Smoky Warbler,Phylloscopus fuligiventer,eBird,Moderate,Least Concern,Schedule-IV
Common Chiffchaff,Phylloscopus collybita,eBird,Low,Least Concern,Schedule-IV
White-spectacled Warbler,Phylloscopus intermedius,eBird,Low,Least Concern,Schedule-IV
Gray-cheeked Warbler,Phylloscopus poliogenys,eBird,Low,Least Concern,Schedule-IV
Green-crowned Warbler,Phylloscopus burkii,eBird,Moderate,Least Concern,Schedule-IV
Gray-crowned Warbler,Phylloscopus tephrocephalus,eBird,NA,Least Concern,Schedule-IV
Whistler's Warbler,Phylloscopus whistleri,eBird,Low,Least Concern,Schedule-IV
Greenish Warbler,Phylloscopus trochiloides,eBird,Moderate,Least Concern,Schedule-IV
Large-billed Leaf Warbler,Phylloscopus magnirostris,eBird,Moderate,Least Concern,Schedule-IV
Chestnut-crowned Warbler,Phylloscopus castaniceps,eBird,Low,Least Concern,Schedule-IV
Yellow-vented Warbler,Phylloscopus cantator,eBird,Moderate,Least Concern,Schedule-IV
Blyth's Leaf Warbler,Phylloscopus reguloides,eBird,Low,Least Concern,Schedule-IV
Gray-hooded Warbler,Phylloscopus xanthoschistos,eBird,Low,Least Concern,Schedule-IV
Gray-bellied Tesia,Tesia cyaniventer,eBird,Low,Least Concern,Schedule-IV
Slaty-bellied Tesia,Tesia olivea,eBird,Low,Least Concern,Schedule-IV
Chestnut-crowned Bush Warbler,Cettia major,eBird,NA,Least Concern,Schedule-IV
Gray-sided Bush Warbler,Cettia brunnifrons,eBird,Low,Least Concern,Schedule-IV
Chestnut-headed Tesia,Cettia castaneocoronata,eBird,Low,Least Concern,Schedule-IV
Yellow-bellied Warbler,Abroscopus superciliaris,eBird,Low,Least Concern,Schedule-IV
Rufous-faced Warbler,Abroscopus albogularis,eBird,NA,Least Concern,Schedule-IV
Black-faced Warbler,Abroscopus schisticeps,eBird,Low,Least Concern,Schedule-IV
Mountain Tailorbird,Phyllergates cucullatus,eBird,Low,Least Concern,Schedule-IV
Broad-billed Warbler,Tickellia hodgsoni,eBird,Moderate,Least Concern,Schedule-IV
Brownish-flanked Bush Warbler,Horornis fortipes,eBird,Low,Least Concern,Schedule-IV
Hume's Bush Warbler,Horornis brunnescens,eBird,Moderate,Least Concern,Schedule-IV
Aberrant Bush Warbler,Horornis flavolivaceus,eBird,Low,Least Concern,Schedule-IV
Black-throated Tit,Aegithalos concinnus,eBird,Low,Least Concern,Schedule-IV
Black-browed Tit,Aegithalos iouschistos,eBird,Moderate,Least Concern,Schedule-IV
Fire-tailed Myzornis,Myzornis pyrrhoura,eBird,Moderate,Least Concern,Schedule-IV
Golden-breasted Fulvetta,Lioparus chrysotis,eBird,NA,Least Concern,Schedule-IV
Jerdon's Babbler,Chrysomma altirostre,eBird,High,Vulnerable,Schedule-IV
Ludlow's Fulvetta,Fulvetta ludlowi,eBird,Moderate,Least Concern,Schedule-IV
Streak-throated Fulvetta,Fulvetta manipurensis,eBird,NA,Least Concern,Schedule-IV
Brown Parrotbill,Cholornis unicolor,eBird,NA,Least Concern,Schedule-IV
Gray-headed Parrotbill,Psittiparus gularis,eBird,NA,Least Concern,Schedule-IV
Rufous-headed Parrotbill,Psittiparus bakeri,eBird,NA,Least Concern,Schedule-IV
Black-breasted Parrotbill,Paradoxornis flavirostris,eBird,High,Vulnerable,Schedule-IV
Spot-breasted Parrotbill,Paradoxornis guttaticollis,eBird,NA,Least Concern,Schedule-IV
Pale-billed Parrotbill,Chleuasicus atrosuperciliaris,eBird,Moderate,Least Concern,Schedule-IV
Fulvous Parrotbill,Suthora fulvifrons,eBird,NA,Least Concern,Schedule-IV
Black-throated Parrotbill,Suthora nipalensis,eBird,Moderate,Least Concern,Schedule-IV
Striated Yuhina,Yuhina castaniceps,eBird,Moderate,Least Concern,Schedule-IV
White-naped Yuhina,Yuhina bakeri,eBird,Moderate,Least Concern,Schedule-IV
Whiskered Yuhina,Yuhina flavicollis,eBird,Low,Least Concern,Schedule-IV
Stripe-throated Yuhina,Yuhina gularis,eBird,Low,Least Concern,Schedule-IV
Rufous-vented Yuhina,Yuhina occipitalis,eBird,Moderate,Least Concern,Schedule-IV
Black-chinned Yuhina,Yuhina nigrimenta,eBird,Low,Least Concern,Schedule-IV
Chestnut-flanked White-eye,Zosterops erythropleurus,eBird,NA,Least Concern,Schedule-IV
Indian White-eye,Zosterops palpebrosus,eBird,Low,Least Concern,Schedule-IV
Chestnut-capped Babbler,Timalia pileata,eBird,Low,Least Concern,Schedule-IV
Pin-striped Tit-Babbler,Mixornis gularis,eBird,Low,Least Concern,Schedule-IV
Golden Babbler,Cyanoderma chrysaeum,eBird,Low,Least Concern,Schedule-IV
Rufous-capped Babbler,Cyanoderma ruficeps,eBird,Low,Least Concern,Schedule-IV
Buff-chested Babbler,Cyanoderma ambiguum,eBird,Moderate,Least Concern,Schedule-IV
Rusty-throated Wren-Babbler,Spelaeornis badeigularis,eBird,High,Vulnerable,Schedule-IV
Bar-winged Wren-Babbler,Spelaeornis troglodytoides,eBird,High,Least Concern,Schedule-IV
Red-billed Scimitar-Babbler,Pomatorhinus ochraceiceps,eBird,NA,Least Concern,Schedule-IV
Coral-billed Scimitar-Babbler,Pomatorhinus ferruginosus,eBird,NA,Least Concern,Schedule-IV
Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,eBird,Moderate,Least Concern,Schedule-IV
Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,eBird,Low,Least Concern,Schedule-IV
White-browed Scimitar-Babbler,Pomatorhinus schisticeps,eBird,Low,Least Concern,Schedule-IV
Spot-breasted Scimitar-Babbler,Megapomatorhinus mcclellandi,eBird,Moderate,Least Concern,Schedule-IV
Gray-throated Babbler,Stachyris nigriceps,eBird,NA,Least Concern,Schedule-IV
Chevron-breasted Babbler,Stachyris roberti,eBird,Moderate,Near Threatened,Schedule-IV
White-hooded Babbler,Gampsorhynchus rufulus,eBird,Moderate,Least Concern,Schedule-IV
Yellow-throated Fulvetta,Schoeniparus cinereus,eBird,Moderate,Least Concern,Schedule-IV
Rufous-winged Fulvetta,Schoeniparus castaneceps,eBird,NA,Least Concern,Schedule-IV
Rufous-throated Fulvetta,Schoeniparus rufogularis,eBird,Moderate,Least Concern,Schedule-IV
Rusty-capped Fulvetta,Schoeniparus dubius,eBird,NA,Least Concern,Schedule-IV
Swamp Grass Babbler,Laticilla cinerascens,eBird,High,Endangered,Schedule-IV
Puff-throated Babbler,Pellorneum ruficeps,eBird,Moderate,Least Concern,Schedule-IV
Marsh Babbler,Pellorneum palustre,eBird,High,Vulnerable,Schedule-IV
Spot-throated Babbler,Pellorneum albiventre,eBird,NA,Least Concern,Schedule-IV
Buff-breasted Babbler,Pellorneum tickelli,eBird,NA,Least Concern,Schedule-IV
Eyebrowed Wren-Babbler,Napothera epilepidota,eBird,NA,Least Concern,Schedule-IV
Long-billed Wren-Babbler,Napothera malacoptila,eBird,Moderate,Least Concern,Schedule-IV
Brown-cheeked Fulvetta,Alcippe poioicephala,eBird,Moderate,Least Concern,Schedule-IV
Nepal Fulvetta,Alcippe nipalensis,eBird,Low,Least Concern,Schedule-IV
Striated Laughingthrush,Grammatoptila striata,eBird,Low,Least Concern,Schedule-IV
Himalayan Cutia,Cutia nipalensis,eBird,Moderate,Least Concern,Schedule-IV
Striated Babbler,Turdoides earlei,eBird,Low,Least Concern,Schedule-IV
White-crested Laughingthrush,Garrulax leucolophus,eBird,Low,Least Concern,Schedule-IV
Lesser Necklaced Laughingthrush,Garrulax monileger,eBird,Low,Least Concern,Schedule-IV
Rufous-chinned Laughingthrush,Ianthocincla rufogularis,eBird,Low,Least Concern,Schedule-IV
Spotted Laughingthrush,Ianthocincla ocellata,eBird,NA,Least Concern,Schedule-IV
Greater Necklaced Laughingthrush,Ianthocincla pectoralis,eBird,Low,Least Concern,Schedule-IV
Rufous-necked Laughingthrush,Ianthocincla ruficollis,eBird,Low,Least Concern,Schedule-IV
Gray-sided Laughingthrush,Ianthocincla caerulata,eBird,High,Least Concern,Schedule-IV
Scaly Laughingthrush,Trochalopteron subunicolor,eBird,Moderate,Least Concern,Schedule-IV
Blue-winged Laughingthrush,Trochalopteron squamatum,eBird,Moderate,Least Concern,Schedule-IV
Elliot's Laughingthrush,Trochalopteron elliotii,eBird,NA,Least Concern,Schedule-IV
Black-faced Laughingthrush,Trochalopteron affine,eBird,NA,Least Concern,Schedule-IV
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,eBird,Low,Least Concern,Schedule-IV
Gray Sibia,Heterophasia gracilis,eBird,Moderate,Least Concern,Schedule-IV
Beautiful Sibia,Heterophasia pulchella,eBird,Moderate,Least Concern,Schedule-IV
Long-tailed Sibia,Heterophasia picaoides,eBird,NA,Least Concern,Schedule-IV
Silver-eared Mesia,Leiothrix argentauris,eBird,Low,Least Concern,Schedule-IV
Red-billed Leiothrix,Leiothrix lutea,eBird,Low,Least Concern,Schedule-IV
Red-tailed Minla,Minla ignotincta,eBird,Moderate,Least Concern,Schedule-IV
Rufous-backed Sibia,Minla annectens,eBird,Moderate,Least Concern,Schedule-IV
Red-faced Liocichla,Liocichla phoenicea,eBird,Low,Least Concern,Schedule-IV
Streak-throated Barwing,Actinodura waldeni,eBird,Moderate,Least Concern,Schedule-IV
Rusty-fronted Barwing,Actinodura egertoni,eBird,Low,Least Concern,Schedule-IV
Blue-winged Minla,Actinodura cyanouroptera,eBird,Low,Least Concern,Schedule-IV
Chestnut-tailed Minla,Actinodura strigula,eBird,Low,Least Concern,Schedule-IV
Goldcrest,Regulus regulus,eBird,NA,Least Concern,Schedule-IV
Wallcreeper,Tichodroma muraria,eBird,Low,Least Concern,Schedule-IV
Chestnut-bellied Nuthatch,Sitta cinnamoventris,eBird,Low,Least Concern,Schedule-IV
White-tailed Nuthatch,Sitta himalayensis,eBird,Low,Least Concern,Schedule-IV
Velvet-fronted Nuthatch,Sitta frontalis,eBird,Moderate,Least Concern,Schedule-IV
Beautiful Nuthatch,Sitta formosa,eBird,High,Vulnerable,Schedule-IV
Hodgson's Treecreeper,Certhia hodgsoni,eBird,Moderate,Least Concern,Schedule-IV
Rusty-flanked Treecreeper,Certhia nipalensis,eBird,Moderate,Least Concern,Schedule-IV
Sikkim Treecreeper,Certhia discolor,eBird,Moderate,Least Concern,Schedule-IV
Eurasian Wren,Troglodytes troglodytes,eBird,Low,Least Concern,Schedule-IV
Spotted Elachura,Elachura formosa,eBird,NA,Least Concern,Schedule-IV
Brown Dipper,Cinclus pallasii,eBird,Low,Least Concern,Schedule-IV
Common Hill Myna,Gracula religiosa,eBird,Low,Least Concern,Schedule-I
European Starling,Sturnus vulgaris,eBird,Moderate,Least Concern,Schedule-IV
Asian Pied Starling,Gracupica contra,eBird,Low,Least Concern,Schedule-IV
Chestnut-tailed Starling,Sturnia malabarica,eBird,Low,Least Concern,Schedule-IV
Common Myna,Acridotheres tristis,eBird,Low,Least Concern,Schedule-IV
Jungle Myna,Acridotheres fuscus,eBird,Moderate,Least Concern,Schedule-IV
Great Myna,Acridotheres grandis,eBird,Low,Least Concern,Schedule-IV
Spot-winged Starling,Saroglossa spilopterus,eBird,Moderate,Least Concern,Schedule-IV
Long-tailed Thrush,Zoothera dixoni,eBird,Moderate,Least Concern,Schedule-IV
Dark-sided Thrush,Zoothera marginata,eBird,Moderate,Least Concern,Schedule-IV
Long-billed Thrush,Zoothera monticola,eBird,Low,Least Concern,Schedule-IV
Scaly Thrush,Zoothera dauma,eBird,Low,Least Concern,Schedule-IV
Purple Cochoa,Cochoa purpurea,eBird,Moderate,Least Concern,Schedule-IV
Green Cochoa,Cochoa viridis,eBird,NA,Least Concern,Schedule-IV
Orange-headed Thrush,Geokichla citrina,eBird,Moderate,Least Concern,Schedule-IV
Gray-winged Blackbird,Turdus boulboul,eBird,Low,Least Concern,Schedule-IV
Black-breasted Thrush,Turdus dissimilis,eBird,NA,Least Concern,Schedule-IV
Gray-sided Thrush,Turdus feae,eBird,NA,Vulnerable,Schedule-IV
Eyebrowed Thrush,Turdus obscurus,eBird,NA,Least Concern,Schedule-IV
White-collared Blackbird,Turdus albocinctus,eBird,Low,Least Concern,Schedule-IV
Chestnut Thrush,Turdus rubrocanus,eBird,NA,Least Concern,Schedule-IV
Black-throated Thrush,Turdus atrogularis,eBird,NA,Least Concern,Schedule-IV
Red-throated Thrush,Turdus ruficollis,eBird,NA,Least Concern,Schedule-IV
Dusky Thrush,Turdus eunomus,eBird,NA,Least Concern,Schedule-IV
Naumann's Thrush,Turdus naumanni,eBird,NA,Least Concern,Schedule-IV
Dark-sided Flycatcher,Muscicapa sibirica,eBird,Low,Least Concern,Schedule-IV
Ferruginous Flycatcher,Muscicapa ferruginea,eBird,NA,Least Concern,Schedule-IV
Oriental Magpie-Robin,Copsychus saularis,eBird,Low,Least Concern,Schedule-IV
White-rumped Shama,Copsychus malabaricus,eBird,Low,Least Concern,Schedule-IV
White-gorgeted Flycatcher,Anthipes monileger,eBird,Moderate,Least Concern,Schedule-IV
Pale-chinned Blue Flycatcher,Cyornis poliogenys,eBird,Low,Least Concern,Schedule-IV
Pale Blue Flycatcher,Cyornis unicolor,eBird,NA,Least Concern,Schedule-IV
Blue-throated Flycatcher,Cyornis rubeculoides,eBird,Low,Least Concern,Schedule-IV
Large Blue Flycatcher,Cyornis magnirostris,eBird,High,Least Concern,Schedule-IV
Hill Blue Flycatcher,Cyornis banyumas,eBird,NA,Least Concern,Schedule-IV
Large Niltava,Niltava grandis,eBird,Low,Least Concern,Schedule-IV
Small Niltava,Niltava macgrigoriae,eBird,Low,Least Concern,Schedule-IV
Rufous-bellied Niltava,Niltava sundara,eBird,Moderate,Least Concern,Schedule-IV
Vivid Niltava,Niltava vivida,eBird,NA,Least Concern,Schedule-IV
Verditer Flycatcher,Eumyias thalassinus,eBird,Low,Least Concern,Schedule-IV
Rusty-bellied Shortwing,Brachypteryx hyperythra,eBird,Moderate,Near Threatened,Schedule-IV
Gould's Shortwing,Brachypteryx stellata,eBird,Moderate,Least Concern,Schedule-IV
Lesser Shortwing,Brachypteryx leucophris,eBird,Low,Least Concern,Schedule-IV
Himalayan Shortwing,Brachypteryx cruralis,eBird,NA,NA,NA
Indian Blue Robin,Larvivora brunnea,eBird,Low,Least Concern,Schedule-IV
Bluethroat,Luscinia svecica,eBird,Low,Least Concern,Schedule-IV
Blue Whistling-Thrush,Myophonus caeruleus,eBird,Low,Least Concern,Schedule-IV
Little Forktail,Enicurus scouleri,eBird,Low,Least Concern,Schedule-IV
White-crowned Forktail,Enicurus leschenaulti,eBird,NA,Least Concern,Schedule-IV
Spotted Forktail,Enicurus maculatus,eBird,Low,Least Concern,Schedule-IV
Black-backed Forktail,Enicurus immaculatus,eBird,Low,Least Concern,Schedule-IV
Slaty-backed Forktail,Enicurus schistaceus,eBird,Low,Least Concern,Schedule-IV
Siberian Rubythroat,Calliope calliope,eBird,Moderate,Least Concern,Schedule-IV
Chinese Rubythroat,Calliope tschebaiewi,eBird,High,Least Concern,Schedule-IV
White-tailed Robin,Myiomela leucura,eBird,Moderate,Least Concern,Schedule-IV
Blue-fronted Robin,Cinclidium frontale,eBird,Moderate,Least Concern,Schedule-IV
Himalayan Bluetail,Tarsiger rufilatus,eBird,Low,Least Concern,Schedule-IV
Rufous-breasted Bush-Robin,Tarsiger hyperythrus,eBird,Moderate,Least Concern,Schedule-IV
White-browed Bush-Robin,Tarsiger indicus,eBird,NA,Least Concern,Schedule-IV
Golden Bush-Robin,Tarsiger chrysaeus,eBird,Low,Least Concern,Schedule-IV
Slaty-backed Flycatcher,Ficedula erithacus,eBird,NA,Least Concern,Schedule-IV
Slaty-blue Flycatcher,Ficedula tricolor,eBird,Low,Least Concern,Schedule-IV
Snowy-browed Flycatcher,Ficedula hyperythra,eBird,Low,Least Concern,Schedule-IV
Pygmy Flycatcher,Ficedula hodgsoni,eBird,Moderate,Least Concern,Schedule-IV
Rufous-gorgeted Flycatcher,Ficedula strophiata,eBird,Low,Least Concern,Schedule-IV
Sapphire Flycatcher,Ficedula sapphira,eBird,Moderate,Least Concern,Schedule-IV
Little Pied Flycatcher,Ficedula westermanni,eBird,Low,Least Concern,Schedule-IV
Ultramarine Flycatcher,Ficedula superciliaris,eBird,Low,Least Concern,Schedule-IV
Taiga Flycatcher,Ficedula albicilla,eBird,NA,Least Concern,Schedule-IV
Blue-fronted Redstart,Phoenicurus frontalis,eBird,Low,Least Concern,Schedule-IV
Plumbeous Redstart,Phoenicurus fuliginosus,eBird,Moderate,Least Concern,Schedule-IV
White-capped Redstart,Phoenicurus leucocephalus,eBird,Low,Least Concern,Schedule-IV
Hodgson's Redstart,Phoenicurus hodgsoni,eBird,NA,Least Concern,Schedule-IV
White-throated Redstart,Phoenicurus schisticeps,eBird,NA,Least Concern,Schedule-IV
Black Redstart,Phoenicurus ochruros,eBird,Moderate,Least Concern,Schedule-IV
Daurian Redstart,Phoenicurus auroreus,eBird,NA,Least Concern,Schedule-IV
Chestnut-bellied Rock-Thrush,Monticola rufiventris,eBird,Low,Least Concern,Schedule-IV
Blue Rock-Thrush,Monticola solitarius,eBird,Moderate,Least Concern,Schedule-IV
Siberian Stonechat,Saxicola maurus,eBird,Low,Least Concern,Schedule-IV
Pied Bushchat,Saxicola caprata,eBird,Low,Least Concern,Schedule-IV
Gray Bushchat,Saxicola ferreus,eBird,Low,Least Concern,Schedule-IV
Isabelline Wheatear,Oenanthe isabellina,eBird,Low,Least Concern,Schedule-IV
Yellow-bellied Flowerpecker,Dicaeum melanozanthum,eBird,NA,Least Concern,Schedule-IV
Plain Flowerpecker,Dicaeum minullum,eBird,Low,Least Concern,Schedule-IV
Fire-breasted Flowerpecker,Dicaeum ignipectus,eBird,Low,Least Concern,Schedule-IV
Scarlet-backed Flowerpecker,Dicaeum cruentatum,eBird,Moderate,Least Concern,Schedule-IV
Ruby-cheeked Sunbird,Chalcoparia singalensis,eBird,Low,Least Concern,Schedule-IV
Purple Sunbird,Cinnyris asiaticus,eBird,Low,Least Concern,Schedule-IV
Fire-tailed Sunbird,Aethopyga ignicauda,eBird,Low,Least Concern,Schedule-IV
Black-throated Sunbird,Aethopyga saturata,eBird,Low,Least Concern,Schedule-IV
Mrs. Gould's Sunbird,Aethopyga gouldiae,eBird,Low,Least Concern,Schedule-IV
Green-tailed Sunbird,Aethopyga nipalensis,eBird,Low,Least Concern,Schedule-IV
Crimson Sunbird,Aethopyga siparaja,eBird,Low,Least Concern,Schedule-IV
Little Spiderhunter,Arachnothera longirostra,eBird,Moderate,Least Concern,Schedule-IV
Streaked Spiderhunter,Arachnothera magna,eBird,Low,Least Concern,Schedule-IV
Blue-winged Leafbird,Chloropsis cochinchinensis,eBird,NA,Least Concern,Schedule-IV
Golden-fronted Leafbird,Chloropsis aurifrons,eBird,Low,Least Concern,Schedule-IV
Orange-bellied Leafbird,Chloropsis hardwickii,eBird,Low,Least Concern,Schedule-IV
Streaked Weaver,Ploceus manyar,eBird,Moderate,Least Concern,Schedule-IV
Baya Weaver,Ploceus philippinus,eBird,Low,Least Concern,Schedule-IV
Red Avadavat,Amandava amandava,eBird,Low,Least Concern,Schedule-IV
White-rumped Munia,Lonchura striata,eBird,Moderate,Least Concern,Schedule-IV
Scaly-breasted Munia,Lonchura punctulata,eBird,Low,Least Concern,Schedule-IV
Chestnut Munia,Lonchura atricapilla,eBird,NA,Least Concern,Schedule-IV
Alpine Accentor,Prunella collaris,eBird,Low,Least Concern,Schedule-IV
Rufous-breasted Accentor,Prunella strophiata,eBird,Low,Least Concern,Schedule-IV
Maroon-backed Accentor,Prunella immaculata,eBird,Moderate,Least Concern,Schedule-IV
House Sparrow,Passer domesticus,eBird,Low,Least Concern,Schedule-IV
Russet Sparrow,Passer cinnamomeus,eBird,Low,Least Concern,Schedule-IV
Eurasian Tree Sparrow,Passer montanus,eBird,Low,Least Concern,Schedule-IV
Gray Wagtail,Motacilla cinerea,eBird,Low,Least Concern,Schedule-IV
Western Yellow Wagtail,Motacilla flava,eBird,Low,Least Concern,Schedule-IV
Citrine Wagtail,Motacilla citreola,eBird,Low,Least Concern,Schedule-IV
White-browed Wagtail,Motacilla maderaspatensis,eBird,Moderate,Least Concern,Schedule-IV
White Wagtail,Motacilla alba,eBird,Moderate,Least Concern,Schedule-IV
Richard's Pipit,Anthus richardi,eBird,Moderate,Least Concern,Schedule-IV
Paddyfield Pipit,Anthus rufulus,eBird,Low,Least Concern,Schedule-IV
Blyth's Pipit,Anthus godlewskii,eBird,Low,Least Concern,Schedule-IV
Rosy Pipit,Anthus roseatus,eBird,Low,Least Concern,Schedule-IV
Olive-backed Pipit,Anthus hodgsoni,eBird,Moderate,Least Concern,Schedule-IV
Collared Grosbeak,Mycerobas affinis,eBird,Moderate,Least Concern,Schedule-IV
Common Rosefinch,Carpodacus erythrinus,eBird,Low,Least Concern,Schedule-IV
Scarlet Finch,Carpodacus sipahi,eBird,Low,Least Concern,Schedule-IV
Dark-rumped Rosefinch,Carpodacus edwardsii,eBird,NA,Least Concern,Schedule-IV
Crimson-browed Finch,Carpodacus subhimachalus,eBird,Moderate,Least Concern,Schedule-IV
Chinese White-browed Rosefinch,Carpodacus dubius,eBird,NA,Least Concern,Schedule-IV
Brown Bullfinch,Pyrrhula nipalensis,eBird,Moderate,Least Concern,Schedule-IV
Gray-headed Bullfinch,Pyrrhula erythaca,eBird,NA,Least Concern,Schedule-IV
Gold-naped Finch,Pyrrhoplectes epauletta,eBird,Moderate,Least Concern,Schedule-IV
Dark-breasted Rosefinch,Procarduelis nipalensis,eBird,Low,Least Concern,Schedule-IV
Plain Mountain-Finch,Leucosticte nemoricola,eBird,Low,Least Concern,Schedule-IV
Black-headed Greenfinch,Chloris ambigua,eBird,NA,Least Concern,Schedule-IV
Crested Bunting,Emberiza lathami,eBird,Moderate,Least Concern,Schedule-IV
Chestnut-eared Bunting,Emberiza fucata,eBird,NA,Least Concern,Schedule-IV
Yellow-breasted Bunting,Emberiza aureola,eBird,High,Critically Endangered,Schedule-IV
Little Bunting,Emberiza pusilla,eBird,NA,Least Concern,Schedule-IV
Rustic Bunting,Emberiza rustica,eBird,NA,NA,NA
Black-faced Bunting,Emberiza spodocephala,eBird,NA,Least Concern,Schedule-IV
Chestnut Bunting,Emberiza rutila,eBird,NA,Least Concern,Schedule-IV
Tristram's Bunting,Emberiza tristrami,eBird,NA,Least Concern,Schedule-IV
