"ST_NM","lists1","lists2","growthlists","growthperc"
"KERALA",136642,249896,113254,83
"TAMIL NADU",86439,178507,92068,107
"KARNATAKA",77782,160180,82398,106
"MAHARASHTRA",43540,100443,56903,131
"UTTARAKHAND",28035,56272,28237,101
"WEST BENGAL",10788,28300,17512,162
"MADHYA PRADESH",22494,39293,16799,75
"GUJARAT",18393,35165,16772,91
"ANDHRA PRADESH",7258,21801,14543,200
"RAJASTHAN",14762,25426,10664,72
"DELHI",13047,23620,10573,81
"UTTAR PRADESH",10461,20448,9987,95
"ASSAM",11688,21475,9787,84
"HIMACHAL PRADESH",8099,16246,8147,101
"CHHATTISGARH",7253,15394,8141,112
"TELANGANA",7703,15420,7717,100
"HARYANA",7121,12800,5679,80
"PUNJAB",1873,6946,5073,271
"GOA",13176,18142,4966,38
"JAMMU & KASHMIR",3248,6962,3714,114
"PUDUCHERRY",1543,5189,3646,236
"ODISHA",4542,7877,3335,73
"LADAKH",3138,5878,2740,87
"ARUNACHAL PRADESH",6700,9416,2716,41
"ANDAMAN & NICOBAR",2794,5289,2495,89
"SIKKIM",1992,3458,1466,74
"MEGHALAYA",1217,2640,1423,117
"JHARKHAND",489,1796,1307,267
"CHANDIGARH",581,1827,1246,214
"BIHAR",926,1928,1002,108
"NAGALAND",939,1436,497,53
"MANIPUR",245,708,463,189
"TRIPURA",96,224,128,133
"MIZORAM",838,944,106,13
"LAKSHADWEEP",92,157,65,71
"DADRA & NAGAR HAVE",17,56,39,229
"DAMAN & DIU",71,89,18,25
