STATE,STATE.CODE,OLD,COUNTY,COUNTY.CODE
MAHARASHTRA,IN-MH,Ratnagiri,Ratnagiri,IN-MH-RT
GUJARAT,IN-GJ,Anand,Anand,IN-GJ-AN
HARYANA,IN-HR,Karnal,Karnal,IN-HR-KR
MIZORAM,IN-MZ,Saiha,Saiha,IN-MZ-SA
DELHI,IN-DL,North West Delhi,North West,IN-DL-NW
KARNATAKA,IN-KA,Kolar,Kolar,IN-KA-KL
MAHARASHTRA,IN-MH,Wardha,Wardha,IN-MH-WR
TAMIL NADU,IN-TN,Namakkal,Namakkal,IN-TN-NM
MADHYA PRADESH,IN-MP,Raisen,Raisen,IN-MP-RS
ASSAM,IN-AS,Chirang,Chirang,IN-AS-CR
ASSAM,IN-AS,Karbi Anglong,Karbi Anglong,IN-AS-KA
RAJASTHAN,IN-RJ,Pali,Pali,IN-RJ-PA
UTTAR PRADESH,IN-UP,Budaun,Budaun,IN-UP-BD
HIMACHAL PRADESH,IN-HP,Lahul and Spiti,Lahul & Spiti,IN-HP-LS
UTTAR PRADESH,IN-UP,Rampur,Rampur,IN-UP-RA
MADHYA PRADESH,IN-MP,Dewas,Dewas,IN-MP-DE
KARNATAKA,IN-KA,Gulbarga,Kalaburagi,IN-KA-GU
BIHAR,IN-BR,Purnia,Purnia,IN-BR-PU
MAHARASHTRA,IN-MH,Nagpur,Nagpur,IN-MH-NG
ASSAM,IN-AS,Bongaigaon,Bongaigaon,IN-AS-BO
BIHAR,IN-BR,Vaishali,Vaishali,IN-BR-VA
RAJASTHAN,IN-RJ,Dungarpur,Dungarpur,IN-RJ-DU
GUJARAT,IN-GJ,Vadodara,Vadodara,IN-GJ-VD
TELANGANA,IN-TS,Adilabad,Adilabad,IN-TS-AD
MADHYA PRADESH,IN-MP,Datia,Datia,IN-MP-DT
MADHYA PRADESH,IN-MP,Shivpuri,Shivpuri,IN-MP-SV
RAJASTHAN,IN-RJ,Sikar,Sikar,IN-RJ-SK
MADHYA PRADESH,IN-MP,Dindori,Dindori,IN-MP-DI
ODISHA,IN-OR,Jagatsinghapur,Jagatsinghapur,IN-OR-JS
MIZORAM,IN-MZ,Aizawl,Aizawl,IN-MZ-AI
ODISHA,IN-OR,Dhenkanal,Dhenkanal,IN-OR-DH
MAHARASHTRA,IN-MH,Akola,Akola,IN-MH-AK
UTTAR PRADESH,IN-UP,Moradabad,Moradabad,IN-UP-MO
ASSAM,IN-AS,Jorhat,Jorhat,IN-AS-JO
UTTAR PRADESH,IN-UP,Bareilly,Bareilly,IN-UP-BR
RAJASTHAN,IN-RJ,Dausa,Dausa,IN-RJ-DA
JAMMU & KASHMIR,IN-JK,Doda,Doda,IN-JK-DO
SIKKIM,IN-SK,North Sikkim,North District,IN-SK-NS
TAMIL NADU,IN-TN,Sivaganga,Sivaganga,IN-TN-SI
MADHYA PRADESH,IN-MP,Chhindwara,Chhindwara,IN-MP-CN
UTTAR PRADESH,IN-UP,Jhansi,Jhansi,IN-UP-JH
ODISHA,IN-OR,Jajapur,Jajapur,IN-OR-JP
BIHAR,IN-BR,Madhubani,Madhubani,IN-BR-MB
JAMMU & KASHMIR,IN-JK,Kulgam,Kulgam,IN-JK-KL
ASSAM,IN-AS,Sivasagar,Sivasagar,IN-AS-SI
BIHAR,IN-BR,Darbhanga,Darbhanga,IN-BR-DA
MIZORAM,IN-MZ,Serchhip,Serchhip,IN-MZ-SE
MIZORAM,IN-MZ,Kolasib,Kolasib,IN-MZ-KO
ARUNACHAL PRADESH,IN-AR,East Siang,East Siang,IN-AR-ES
ODISHA,IN-OR,Debagarh,Debagarh,IN-OR-DE
ODISHA,IN-OR,Ganjam,Ganjam,IN-OR-GN
HIMACHAL PRADESH,IN-HP,Kinnaur,Kinnaur,IN-HP-KI
BIHAR,IN-BR,Saran (chhapra),Saran,IN-BR-SR
JHARKHAND,IN-JH,Ranchi,Ranchi,IN-JH-RA
ASSAM,IN-AS,Lakhimpur,Lakhimpur,IN-AS-LA
KARNATAKA,IN-KA,Bijapur,Bijapur,IN-KA-BJ
MANIPUR,IN-MN,Ukhrul,Ukhrul,IN-MN-UK
ARUNACHAL PRADESH,IN-AR,Lohit,Lohit,IN-AR-LO
WEST BENGAL,IN-WB,Maldah,Maldah,IN-WB-MA
UTTAR PRADESH,IN-UP,Kanpur Nagar,Kanpur Nagar,IN-UP-KN
GUJARAT,IN-GJ,Kheda,Kheda,IN-GJ-KH
TAMIL NADU,IN-TN,Virudunagar,Virudhunagar,IN-TN-VR
WEST BENGAL,IN-WB,Hooghly,Hooghly,IN-WB-HG
TAMIL NADU,IN-TN,Ariyalur,Ariyalur,IN-TN-AR
MADHYA PRADESH,IN-MP,Shajapur,Shajapur,IN-MP-SJ
HARYANA,IN-HR,Panipat,Panipat,IN-HR-PP
WEST BENGAL,IN-WB,Bankura,Bankura,IN-WB-BN
MANIPUR,IN-MN,Senapati,Senapati,IN-MN-SE
MADHYA PRADESH,IN-MP,Dhar,Dhar,IN-MP-DH
KARNATAKA,IN-KA,Dakshina Kannada,Dakshina Kannada,IN-KA-DK
MADHYA PRADESH,IN-MP,Katni,Katni,IN-MP-KA
MANIPUR,IN-MN,Bishnupur,Bishnupur,IN-MN-BI
GUJARAT,IN-GJ,Sabar Kantha,Sabar Kantha,IN-GJ-SK
SIKKIM,IN-SK,South Sikkim,South District,IN-SK-SS
MEGHALAYA,IN-ML,West Khasi Hills,West Khasi Hills,IN-ML-WK
WEST BENGAL,IN-WB,Murshidabad,Murshidabad,IN-WB-MU
PUNJAB,IN-PB,Ludhiana,Ludhiana,IN-PB-LU
MADHYA PRADESH,IN-MP,East Nimar,East Nimar,IN-MP-EN
HARYANA,IN-HR,Yamunanagar,Yamunanagar,IN-HR-YN
NAGALAND,IN-NL,Phek,Phek,IN-NL-PH
JAMMU & KASHMIR,IN-JK,Udhampur,Udhampur,IN-JK-UD
PUNJAB,IN-PB,Gurdaspur,Gurdaspur,IN-PB-GU
HARYANA,IN-HR,Mewat,Nuh,IN-HR-ME
UTTAR PRADESH,IN-UP,Faizabad,Faizabad,IN-UP-FZ
MANIPUR,IN-MN,Thoubal,Thoubal,IN-MN-TH
ARUNACHAL PRADESH,IN-AR,Kurung Kumey,Kurung Kumey,IN-AR-KK
UTTAR PRADESH,IN-UP,Balrampur,Balrampur,IN-UP-BP
PUNJAB,IN-PB,Hoshiarpur,Hoshiarpur,IN-PB-HO
BIHAR,IN-BR,Kishanganj,Kishanganj,IN-BR-KI
ODISHA,IN-OR,Gajapati,Gajapati,IN-OR-GP
MANIPUR,IN-MN,Chandel,Chandel,IN-MN-CD
PUNJAB,IN-PB,Jalandhar,Jalandhar,IN-PB-JA
HIMACHAL PRADESH,IN-HP,Una,Una,IN-HP-UN
ASSAM,IN-AS,Karimganj,Karimganj,IN-AS-KR
CHANDIGARH,IN-CH,Chandigarh,Chandigarh,IN-CH-CH
NAGALAND,IN-NL,Kohima,Kohima,IN-NL-KO
PUNJAB,IN-PB,Firozpur,Firozpur,IN-PB-FI
BIHAR,IN-BR,Muzaffarpur,Muzaffarpur,IN-BR-MZ
UTTARAKHAND,IN-UL,Pithoragarh,Pithoragarh,IN-UL-PI
ARUNACHAL PRADESH,IN-AR,East Kameng,East Kameng,IN-AR-EK
DELHI,IN-DL,West Delhi,West,IN-DL-WE
GUJARAT,IN-GJ,Banas Kantha,Banas Kantha,IN-GJ-BK
KARNATAKA,IN-KA,Bidar,Bidar,IN-KA-BD
GUJARAT,IN-GJ,Bharuch,Bharuch,IN-GJ-BR
UTTAR PRADESH,IN-UP,Auraiya,Auraiya,IN-UP-AU
UTTAR PRADESH,IN-UP,Firozabad,Firozabad,IN-UP-FI
UTTAR PRADESH,IN-UP,Mahamaya Nagar,Hathras,IN-UP-HT
GUJARAT,IN-GJ,Patan,Patan,IN-GJ-PA
UTTAR PRADESH,IN-UP,Bulandshahr,Bulandshahr,IN-UP-BU
KARNATAKA,IN-KA,Raichur,Raichur,IN-KA-RA
TAMIL NADU,IN-TN,Thanjavur,Thanjavur,IN-TN-TJ
RAJASTHAN,IN-RJ,Bundi,Bundi,IN-RJ-BU
UTTAR PRADESH,IN-UP,Kanpur Dehat,Kanpur Dehat,IN-UP-KD
BIHAR,IN-BR,Supaul,Supaul,IN-BR-SU
JAMMU & KASHMIR,IN-JK,Kathua,Kathua,IN-JK-KT
MAHARASHTRA,IN-MH,Bhandara,Bhandara,IN-MH-BH
TAMIL NADU,IN-TN,Thoothukkudi,Thoothukkudi,IN-TN-TK
MEGHALAYA,IN-ML,East Garo Hills,East Garo Hills,IN-ML-EG
JHARKHAND,IN-JH,Chatra,Chatra,IN-JH-CH
KARNATAKA,IN-KA,Gadag,Gadag,IN-KA-GA
ARUNACHAL PRADESH,IN-AR,Tirap,Tirap,IN-AR-TI
RAJASTHAN,IN-RJ,Jhalawar,Jhalawar,IN-RJ-JW
ARUNACHAL PRADESH,IN-AR,Tawang,Tawang,IN-AR-TA
HARYANA,IN-HR,Sirsa,Sirsa,IN-HR-SI
MADHYA PRADESH,IN-MP,Sheopur,Sheopur,IN-MP-SP
KARNATAKA,IN-KA,Dharwad,Dharwad,IN-KA-DH
GUJARAT,IN-GJ,Amreli,Amreli,IN-GJ-AM
PUNJAB,IN-PB,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,IN-PB-SH
MADHYA PRADESH,IN-MP,Bhind,Bhind,IN-MP-BD
JHARKHAND,IN-JH,Pashchimi Singhbhum,Pashchimi Singhbhum,IN-JH-WS
MAHARASHTRA,IN-MH,Jalgaon,Jalgaon,IN-MH-JG
UTTAR PRADESH,IN-UP,Bahraich,Bahraich,IN-UP-BH
UTTAR PRADESH,IN-UP,Allahabad,Prayagraj,IN-UP-AH
JHARKHAND,IN-JH,Sahibganj,Sahibganj,IN-JH-SA
UTTAR PRADESH,IN-UP,Mainpuri,Mainpuri,IN-UP-MP
ARUNACHAL PRADESH,IN-AR,Upper Siang,Upper Siang,IN-AR-US
UTTAR PRADESH,IN-UP,Pratapgarh,Pratapgarh,IN-UP-PR
WEST BENGAL,IN-WB,Dakshin Dinajpur,Dakshin Dinajpur,IN-WB-DD
UTTAR PRADESH,IN-UP,Farrukhabad,Farrukhabad,IN-UP-FR
RAJASTHAN,IN-RJ,Barmer,Barmer,IN-RJ-BM
TAMIL NADU,IN-TN,Pudukkottai,Pudukkottai,IN-TN-PU
JHARKHAND,IN-JH,Dumka,Dumka,IN-JH-DU
UTTAR PRADESH,IN-UP,Rae Bareli,Rae Bareli,IN-UP-RB
UTTAR PRADESH,IN-UP,Kannauj,Kannauj,IN-UP-KJ
PUDUCHERRY,IN-PY,Yanam,Yanam,IN-PY-YA
UTTAR PRADESH,IN-UP,Shrawasti,Shrawasti,IN-UP-SV
UTTAR PRADESH,IN-UP,Chandauli,Chandauli,IN-UP-CD
GUJARAT,IN-GJ,Gandhinagar,Gandhinagar,IN-GJ-GA
KARNATAKA,IN-KA,Chitradurga,Chitradurga,IN-KA-CT
ASSAM,IN-AS,Udalguri,Udalguri,IN-AS-UD
MAHARASHTRA,IN-MH,Dhule,Dhule,IN-MH-DH
BIHAR,IN-BR,Aurangabad,Aurangabad,IN-BR-AU
TAMIL NADU,IN-TN,Thiruvarur,Thiruvarur,IN-TN-TR
PUNJAB,IN-PB,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,IN-PB-NS
JAMMU & KASHMIR,IN-JK,Shupiyan,Shupiyan,IN-JK-SH
JHARKHAND,IN-JH,Hazaribagh,Hazaribagh,IN-JH-HA
WEST BENGAL,IN-WB,Purba Medinipur,Purba Medinipur,IN-WB-ME
PUNJAB,IN-PB,Mansa,Mansa,IN-PB-MA
DAMAN & DIU,IN-DD,Diu,Diu,IN-DD-DI
ANDHRA PRADESH,IN-AP,West Godavari,West Godavari,IN-AP-WG
RAJASTHAN,IN-RJ,Kota,Kota,IN-RJ-KO
PUNJAB,IN-PB,Patiala,Patiala,IN-PB-PA
GUJARAT,IN-GJ,Dohad,Dohad,IN-GJ-DA
RAJASTHAN,IN-RJ,Ganganagar,Ganganagar,IN-RJ-GA
PUNJAB,IN-PB,Rupnagar,Rupnagar,IN-PB-RU
UTTAR PRADESH,IN-UP,Basti,Basti,IN-UP-BS
MANIPUR,IN-MN,Imphal East,Imphal East,IN-MN-EI
UTTAR PRADESH,IN-UP,Maharajganj,Mahrajganj,IN-UP-MG
UTTAR PRADESH,IN-UP,Sitapur,Sitapur,IN-UP-SI
BIHAR,IN-BR,Nalanda,Nalanda,IN-BR-NL
MAHARASHTRA,IN-MH,Hingoli,Hingoli,IN-MH-HI
ODISHA,IN-OR,Kendrapara,Kendrapara,IN-OR-KP
MEGHALAYA,IN-ML,West Garo Hills,West Garo Hills,IN-ML-WG
UTTAR PRADESH,IN-UP,Bara Banki,Bara Banki,IN-UP-BB
PUNJAB,IN-PB,Kapurthala,Kapurthala,IN-PB-KA
JAMMU & KASHMIR,IN-JK,Badgam,Badgam,IN-JK-BD
TRIPURA,IN-TR,West Tripura,West Tripura,IN-TR-WT
MIZORAM,IN-MZ,Lawangtlai,Lawngtlai,IN-MZ-LA
TRIPURA,IN-TR,North Tripura,North Tripura,IN-TR-NT
ODISHA,IN-OR,Malkangiri,Malkangiri,IN-OR-ML
TRIPURA,IN-TR,South Tripura,South Tripura,IN-TR-ST
BIHAR,IN-BR,Bhagalpur,Bhagalpur,IN-BR-BG
MAHARASHTRA,IN-MH,Osmanabad,Osmanabad,IN-MH-OS
HARYANA,IN-HR,Bhiwani,Bhiwani,IN-HR-BH
RAJASTHAN,IN-RJ,Jalor,Jalor,IN-RJ-JL
UTTAR PRADESH,IN-UP,Hardoi,Hardoi,IN-UP-HR
UTTAR PRADESH,IN-UP,Kansiram Nagar,Kasganj,IN-UP-KM
UTTAR PRADESH,IN-UP,Kaushambi,Kaushambi,IN-UP-KS
MAHARASHTRA,IN-MH,Bid,Bid,IN-MH-BI
MAHARASHTRA,IN-MH,Nandurbar,Nandurbar,IN-MH-NB
HARYANA,IN-HR,Ambala,Ambala,IN-HR-AM
ODISHA,IN-OR,Baleshwar,Baleshwar,IN-OR-BW
DADRA & NAGAR HAVELI,IN-DN,Dadra and Nagar Haveli,Dadra & Nagar Haveli,IN-DN-DN
UTTAR PRADESH,IN-UP,Pilibhit,Pilibhit,IN-UP-PI
NAGALAND,IN-NL,Wokha,Wokha,IN-NL-WO
GUJARAT,IN-GJ,Narmada,Narmada,IN-GJ-NR
NAGALAND,IN-NL,Mokokchung,Mokokchung,IN-NL-MK
MADHYA PRADESH,IN-MP,Narsimhapur,Narsimhapur,IN-MP-NA
MEGHALAYA,IN-ML,Jaintia Hills,Jaintia Hills,IN-ML-JH
UTTAR PRADESH,IN-UP,Azamgarh,Azamgarh,IN-UP-AZ
UTTAR PRADESH,IN-UP,Chitrakoot,Chitrakoot,IN-UP-CT
MAHARASHTRA,IN-MH,Nanded,Nanded,IN-MH-ND
RAJASTHAN,IN-RJ,Pratapgarh,Pratapgarh,IN-RJ-PR
ARUNACHAL PRADESH,IN-AR,Anjaw,Anjaw,IN-AR-AN
MAHARASHTRA,IN-MH,Jalna,Jalna,IN-MH-JN
UTTAR PRADESH,IN-UP,Meerut,Meerut,IN-UP-ME
DAMAN & DIU,IN-DD,Daman,Daman,IN-DD-DA
ODISHA,IN-OR,Bauda,Baudh,IN-OR-BD
UTTAR PRADESH,IN-UP,Hamirpur,Hamirpur,IN-UP-HM
MADHYA PRADESH,IN-MP,Burhanpur,Burhanpur,IN-MP-BU
JAMMU & KASHMIR,IN-JK,Reasi,Reasi,IN-JK-RE
NAGALAND,IN-NL,Zunheboto,Zunheboto,IN-NL-ZU
ASSAM,IN-AS,Nalbari,Nalbari,IN-AS-NL
NAGALAND,IN-NL,Kiphire,Kiphire,IN-NL-KI
MANIPUR,IN-MN,Churachandpur,Churachandpur,IN-MN-CC
JHARKHAND,IN-JH,Dhanbad,Dhanbad,IN-JH-DH
MAHARASHTRA,IN-MH,Latur,Latur,IN-MH-LA
ODISHA,IN-OR,Koraput,Koraput,IN-OR-KO
ODISHA,IN-OR,Rayagada,Rayagada,IN-OR-RA
JAMMU & KASHMIR,IN-JK,Punch,Punch,IN-JK-PO
GUJARAT,IN-GJ,Valsad,Valsad,IN-GJ-VL
MANIPUR,IN-MN,Imphal West,Imphal West,IN-MN-WI
RAJASTHAN,IN-RJ,Hanumangarh,Hanumangarh,IN-RJ-HA
JHARKHAND,IN-JH,Gumla,Gumla,IN-JH-GU
ODISHA,IN-OR,Nayagarh,Nayagarh,IN-OR-NY
HARYANA,IN-HR,Mahendragarh,Mahendragarh,IN-HR-MA
MAHARASHTRA,IN-MH,Parbhani,Parbhani,IN-MH-PA
HARYANA,IN-HR,Kurukshetra,Kurukshetra,IN-HR-KU
MADHYA PRADESH,IN-MP,Damoh,Damoh,IN-MP-DM
ASSAM,IN-AS,Hailakandi,Hailakandi,IN-AS-HA
PUNJAB,IN-PB,Faridkot,Faridkot,IN-PB-FR
RAJASTHAN,IN-RJ,Karauli,Karauli,IN-RJ-KA
JHARKHAND,IN-JH,Bokaro,Bokaro,IN-JH-BO
NAGALAND,IN-NL,Peren,Peren,IN-NL-PE
ODISHA,IN-OR,Sundargarh,Sundargarh,IN-OR-SU
HARYANA,IN-HR,Kaithal,Kaithal,IN-HR-KT
MADHYA PRADESH,IN-MP,West Nimar,West Nimar,IN-MP-WN
BIHAR,IN-BR,Pashchim Champaran,Pashchim Champaran,IN-BR-WC
PUNJAB,IN-PB,Moga,Moga,IN-PB-MO
BIHAR,IN-BR,Sheohar,Sheohar,IN-BR-SO
GUJARAT,IN-GJ,Tapi,Tapi,IN-GJ-TA
UTTAR PRADESH,IN-UP,Jaunpur,Jaunpur,IN-UP-JU
UTTAR PRADESH,IN-UP,Ghazipur,Ghazipur,IN-UP-GP
UTTAR PRADESH,IN-UP,Gonda,Gonda,IN-UP-GN
NAGALAND,IN-NL,Dimapur,Dimapur,IN-NL-DI
ODISHA,IN-OR,Balangir,Balangir,IN-OR-BL
MANIPUR,IN-MN,Tamenglong,Tamenglong,IN-MN-TA
BIHAR,IN-BR,Katihar,Katihar,IN-BR-KT
JAMMU & KASHMIR,IN-JK,Samba,Samba,IN-JK-SA
UTTAR PRADESH,IN-UP,Saharanpur,Saharanpur,IN-UP-SA
PUDUCHERRY,IN-PY,Mahe,Mahe,IN-PY-MA
PUNJAB,IN-PB,Fatehgarh Sahib,Fatehgarh Sahib,IN-PB-FT
BIHAR,IN-BR,Begusarai,Begusarai,IN-BR-BE
ASSAM,IN-AS,Goalpara,Goalpara,IN-AS-GP
BIHAR,IN-BR,Araria,Araria,IN-BR-AR
JHARKHAND,IN-JH,Palamu,Palamu,IN-JH-PL
MADHYA PRADESH,IN-MP,Mandsaur,Mandsaur,IN-MP-MS
MADHYA PRADESH,IN-MP,Rajgarh,Rajgarh,IN-MP-RG
MIZORAM,IN-MZ,Lunglei,Lunglei,IN-MZ-LU
JHARKHAND,IN-JH,Giridih,Giridih,IN-JH-GI
JHARKHAND,IN-JH,Ramgarh,Ramgarh,IN-JH-RM
ODISHA,IN-OR,Jharsuguda,Jharsuguda,IN-OR-JH
JHARKHAND,IN-JH,Latehar,Latehar,IN-JH-LA
TAMIL NADU,IN-TN,Perambalur,Perambalur,IN-TN-PE
UTTAR PRADESH,IN-UP,Sonbhadra,Sonbhadra,IN-UP-SO
HIMACHAL PRADESH,IN-HP,Hamirpur,Hamirpur,IN-HP-HA
PUDUCHERRY,IN-PY,Karaikal,Karaikal,IN-PY-KA
BIHAR,IN-BR,Purba Champaran,Purba Champaran,IN-BR-EC
BIHAR,IN-BR,Jamui,Jamui,IN-BR-JA
MADHYA PRADESH,IN-MP,Neemuch,Neemuch,IN-MP-NE
TRIPURA,IN-TR,Dhalai,Dhalai,IN-TR-DH
JHARKHAND,IN-JH,Deoghar,Deoghar,IN-JH-DE
UTTAR PRADESH,IN-UP,Sant Kabir Nagar,Sant Kabir Nagar,IN-UP-SK
ODISHA,IN-OR,Kandhamal,Kandhamal,IN-OR-KN
BIHAR,IN-BR,Munger,Munger,IN-BR-MG
UTTAR PRADESH,IN-UP,Ambedkar Nagar,Ambedkar Nagar,IN-UP-AN
BIHAR,IN-BR,Madhepura,Madhepura,IN-BR-MP
RAJASTHAN,IN-RJ,Baran,Baran,IN-RJ-BR
BIHAR,IN-BR,Saharsa,Saharsa,IN-BR-SH
UTTAR PRADESH,IN-UP,Fatehpur,Fatehpur,IN-UP-FT
HARYANA,IN-HR,Jind,Jind,IN-HR-JI
UTTAR PRADESH,IN-UP,Mahoba,Mahoba,IN-UP-MH
JHARKHAND,IN-JH,Garhwa,Garhwa,IN-JH-GA
MADHYA PRADESH,IN-MP,Guna,Guna,IN-MP-GU
BIHAR,IN-BR,Lakhisarai,Lakhisarai,IN-BR-LA
BIHAR,IN-BR,Bhojpur,Bhojpur,IN-BR-BJ
BIHAR,IN-BR,Khagaria,Khagaria,IN-BR-KH
BIHAR,IN-BR,Samastipur,Samastipur,IN-BR-SM
BIHAR,IN-BR,Sheikhpura,Sheikhpura,IN-BR-SP
MADHYA PRADESH,IN-MP,Alirajpur,Alirajpur,IN-MP-AL
MADHYA PRADESH,IN-MP,Jhabua,Jhabua,IN-MP-JH
RAJASTHAN,IN-RJ,Banswara,Banswara,IN-RJ-BN
MADHYA PRADESH,IN-MP,Barwani,Barwani,IN-MP-BR
HARYANA,IN-HR,Fatehabad,Fatehabad,IN-HR-FT
BIHAR,IN-BR,Kaimur (bhabua),Kaimur (bhabua),IN-BR-KM
PUNJAB,IN-PB,Sangrur,Sangrur,IN-PB-SA
UTTAR PRADESH,IN-UP,Jalaun,Jalaun,IN-UP-JL
PUNJAB,IN-PB,Bathinda,Bathinda,IN-PB-BA
NAGALAND,IN-NL,Tuensang,Tuensang,IN-NL-TU
BIHAR,IN-BR,Sitamarhi,Sitamarhi,IN-BR-ST
ODISHA,IN-OR,Subarnapur,Subarnapur,IN-OR-SO
ODISHA,IN-OR,Nabarangapur,Nabarangapur,IN-OR-NB
UTTAR PRADESH,IN-UP,Kushinagar,Kushinagar,IN-UP-KU
BIHAR,IN-BR,Rohtas,Rohtas,IN-BR-RO
NAGALAND,IN-NL,Longleng,Longleng,IN-NL-LO
ARUNACHAL PRADESH,IN-AR,Upper Subansiri,Upper Subansiri,IN-AR-UB
BIHAR,IN-BR,Buxar,Buxar,IN-BR-BU
UTTAR PRADESH,IN-UP,Baghpat,Baghpat,IN-UP-BG
MADHYA PRADESH,IN-MP,Ashoknagar,Ashoknagar,IN-MP-AS
JHARKHAND,IN-JH,Khunti,Khunti,IN-JH-KH
JHARKHAND,IN-JH,Lohardaga,Lohardaga,IN-JH-LO
UTTAR PRADESH,IN-UP,Ballia,Ballia,IN-UP-BL
UTTAR PRADESH,IN-UP,Mau,Mau,IN-UP-MA
BIHAR,IN-BR,Arwal,Arwal,IN-BR-AW
JHARKHAND,IN-JH,Pakur,Pakur,IN-JH-PK
JHARKHAND,IN-JH,Jamtara,Jamtara,IN-JH-JA
JHARKHAND,IN-JH,Simdega,Simdega,IN-JH-SI
BIHAR,IN-BR,Nawada,Nawada,IN-BR-NW
BIHAR,IN-BR,Banka,Banka,IN-BR-BA
UTTAR PRADESH,IN-UP,Siddharth Nagar,Siddharthnagar,IN-UP-SN
UTTAR PRADESH,IN-UP,Sant Ravi Das Nagar(bhadohi),Bhadohi,IN-UP-SR
NAGALAND,IN-NL,Mon,Mon,IN-NL-MN
JHARKHAND,IN-JH,Godda,Godda,IN-JH-GO
PUNJAB,IN-PB,Barnala,Barnala,IN-PB-BR
UTTAR PRADESH,IN-UP,Deoria,Deoria,IN-UP-DE
